Geneid	NM001	NM002	NM003	NM004	NM005	TB001	TB002	TB003	TB004	TB005	AD001	AD002	AD003	AD004	AD005	SA001	SA002	SA003	SA004	SA005
ENSG00000223972	2	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0
ENSG00000227232	104	45	43	44	76	46	124	52	44	47	52	47	62	83	47	62	30	33	61	73
ENSG00000278267	0	3	0	0	1	1	17	2	0	3	11	1	2	3	4	11	4	3	9	10
ENSG00000243485	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000238009	0	2	1	0	0	0	4	1	0	0	0	0	1	0	0	6	1	1	1	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	3	2	3	8	2	3	1	2	6	3	13	3	2	0	31	12	0	20	9	18
ENSG00000268903	25	34	95	34	48	51	29	18	38	86	153	31	58	25	200	89	12	443	82	77
ENSG00000269981	19	11	29	5	10	20	30	15	26	45	103	12	22	4	100	38	13	250	57	91
ENSG00000239906	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	7
ENSG00000241860	6	11	6	5	2	8	23	5	4	10	31	2	6	0	9	14	2	28	51	4
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
ENSG00000279928	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	3
ENSG00000279457	346	216	128	167	258	165	317	192	166	134	187	217	325	414	270	202	115	86	169	89
ENSG00000273874	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0
ENSG00000228463	5	4	1	7	15	4	13	11	6	4	16	4	0	3	4	2	2	20	8	8
ENSG00000236679	1	0	0	1	1	1	2	1	2	0	2	2	0	1	2	1	1	2	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
ENSG00000237094	21	21	20	0	17	18	47	36	18	32	77	5	15	1	51	14	15	55	66	37
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
