"","NM001","NM002","NM003","NM004","NM005","TB001","TB002","TB003","TB004","TB005","AD001","AD002","AD003","AD004","AD005","SA001","SA002","SA003","SA004","SA005"
"TSPAN6",552,193,221,498,353,362,602,289,259,262,247,466,1751,512,977,324,563,91,782,566
"TNMD",3,17,4,1,1,0,105,1080,0,0,0,3,0,0,0,0,0,2,0,1
"DPM1",534,420,813,943,446,579,509,557,395,379,322,355,1051,457,525,523,609,204,470,466
"SCYL3",272,187,113,202,188,300,215,136,181,172,306,154,224,44,345,268,205,94,423,350
"FIRRM",58,43,31,40,35,68,50,28,64,38,84,140,182,80,368,61,53,18,101,101
"FGR",1813,2793,2736,1909,1148,1379,643,461,1374,1823,748,491,682,298,309,896,713,5202,508,349
"CFH",2113,2600,961,1259,2289,3043,5899,2349,3060,2393,2068,107,900,318,3033,2469,3768,259,865,1705
"FUCA2",793,985,783,1178,891,826,702,303,615,653,727,1047,860,2621,997,512,605,210,1239,675
"GCLC",462,499,274,276,391,566,621,444,415,383,439,196,723,302,76,445,531,159,8398,6599
"NFYA",443,360,493,291,302,529,389,323,565,377,453,440,539,292,836,477,712,459,771,817
"STPG1",272,138,182,125,213,94,80,55,94,125,104,102,169,297,217,107,195,64,184,127
"NIPAL3",1656,805,808,747,1208,811,380,194,719,648,785,1271,342,839,1159,661,854,222,554,746
"LAS1L",618,545,434,385,674,546,511,325,495,451,504,2114,987,1214,957,555,548,205,414,377
"ENPP4",1342,898,1134,1134,707,914,416,566,397,325,451,780,119,87,100,437,957,91,912,761
"SEMA3F",1177,542,605,1233,1057,683,1435,411,852,1283,631,190,1669,371,1698,1013,1049,164,460,1061
"CFTR",364,191,799,397,262,1070,10,1,481,36,1104,57,10,45,6,544,595,40,0,36
"ANKIB1",1007,882,652,592,932,1053,1120,713,1055,748,955,1012,680,339,902,1002,1190,162,738,1167
"CYP51A1",173,130,214,123,68,95,40,27,58,51,49,79,34,12,43,43,172,10,97,120
"KRIT1",681,436,311,559,459,707,665,507,454,395,586,444,576,93,429,673,604,102,526,685
"RAD52",119,65,23,82,83,76,215,135,109,91,115,60,133,72,96,96,95,61,152,189
"BAD",590,462,540,822,744,310,423,295,227,258,255,1208,408,1168,332,267,223,157,220,223
"LAP3",1888,2838,3676,2565,1653,3870,1286,721,5214,4315,2692,2640,2317,2193,2684,3270,3617,808,1579,1531
"CD99",2867,5479,6283,5951,3506,4612,8014,4235,4770,6976,3032,1397,10054,3279,4018,3648,2401,937,1336,1777
"HS3ST1",257,138,158,216,114,168,140,25,113,202,177,258,233,670,328,183,364,198,86,111
"AOC1",16,31,7,11,38,14,6,5,37,5,72,214,26,20,10,23,36,38,2698,1470
"WNT16",3,2,6,1,1,9,12,22,5,0,11,1,112,8,1,11,6,1,0,8
"HECW1",3,11,2,2,19,22,1,30,14,70,24,5,15,41,33,15,18,24,80,130
"MAD1L1",675,787,394,410,667,536,384,298,390,507,494,790,399,2154,1262,514,338,264,352,378
"LASP1",4133,4336,3186,2735,4367,4299,4322,1611,4432,5047,3413,4861,2682,3426,4294,3952,3097,2301,3607,3442
"SNX11",420,334,795,932,475,453,386,216,350,349,399,422,429,702,398,360,270,419,364,330
"TMEM176A",871,1609,964,1179,1305,1795,1441,451,2268,997,1572,1014,1109,804,1036,1827,893,369,2467,1546
"M6PR",1641,1360,1445,1433,820,2008,902,537,1863,1804,1202,1585,928,627,1135,1167,1402,553,970,1136
"KLHL13",74,124,19,10,67,31,181,96,60,36,38,16,907,0,84,42,78,9,14,21
"CYP26B1",57,350,18,431,294,101,316,228,505,383,145,23,128,5,137,282,149,225,73,79
"ICA1",255,296,278,265,259,250,324,118,285,235,371,337,220,538,492,271,342,82,727,1221
"DBNDD1",178,140,86,69,183,50,13,904,62,77,64,515,98,243,167,42,39,25,315,239
"ALS2",629,386,386,311,430,509,425,500,341,399,427,348,264,132,293,452,675,123,870,716
"CASP10",665,502,451,531,449,564,378,152,693,707,810,843,337,177,514,733,783,247,276,368
"CFLAR",7074,4733,7223,3635,3982,5675,3297,2472,4714,4904,3863,6146,2154,1441,2576,4665,5691,3944,4369,4486
"TFPI",2480,1651,2549,3049,2453,2440,1322,530,1700,1603,2759,138,536,657,1787,2673,2767,174,232,2353
"NDUFAF7",133,99,121,203,132,149,226,201,165,94,188,124,159,141,136,177,196,56,241,175
"RBM5",995,718,558,756,704,859,1872,807,1137,910,1390,532,827,466,517,1636,1238,668,993,1166
"MTMR7",42,31,42,14,22,26,48,31,29,12,30,4,124,5,17,37,60,23,105,146
"SLC7A2",842,582,1258,132,523,1069,1616,3598,421,344,957,24,465,20,142,1064,1903,42,49611,16334
"ARF5",1363,1354,2429,2573,1665,1108,1464,1104,1054,1273,930,1817,2561,2838,2111,1139,837,747,736,963
"SARM1",184,123,58,68,115,148,190,86,143,147,167,74,108,15,48,132,130,66,197,165
"POLDIP2",1307,1222,1287,1210,1304,1158,1148,2879,969,1093,1161,1119,2275,2700,2173,1040,767,473,2455,1938
"PLXND1",5915,4664,1874,2980,4695,6396,6934,2290,6342,8958,5415,2005,2010,734,2595,5205,5471,1129,2311,4226
"AK2",1603,1624,2167,2244,1604,1791,1247,950,1398,1344,1585,4034,2213,2816,2852,1606,1407,617,1525,1148
"CD38",280,912,262,103,150,576,178,466,1029,283,882,61,369,122,207,309,412,183,958,315
"FKBP4",931,836,1077,892,687,803,764,1051,728,792,824,1541,3164,4610,3300,845,657,507,1592,1273
"KDM1A",1262,861,785,712,989,1283,1008,759,962,929,1095,619,1451,1694,1418,1053,989,245,1134,1004
"RBM6",1218,845,618,552,865,1074,2589,1240,1285,1590,1889,709,1552,726,834,1541,1227,643,959,1325
"CAMKK1",321,367,157,190,216,205,359,113,139,179,269,172,161,42,76,211,126,261,550,469
"RECQL",652,638,425,530,377,840,635,386,584,500,487,328,356,155,430,445,804,119,345,537
"VPS50",497,341,244,452,290,462,418,325,368,282,472,388,259,105,324,317,510,72,364,448
