"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter"
"NM001",65.5333333333333,42,200.285714285714,299.222222222222,43.625,564.428571428571,310.8,764.214285714286,1621.5,6020.375
"NM002",116.8,115,421.571428571429,2346.22222222222,61.25,1085.42857142857,267.2,904.571428571429,953.833333333333,17150.125
"NM003",63.1333333333333,89,166.571428571429,507.888888888889,21.125,542.571428571429,487.6,2271.42857142857,979.733333333333,6664
"NM004",152,187,499.285714285714,2105,28.375,542.571428571429,526,836,1690.33333333333,7813.25
"NM005",112.466666666667,226,217.428571428571,1069.66666666667,16,333.285714285714,317.2,637.571428571429,1376.83333333333,11180.875
"TB001",191.533333333333,87,154.714285714286,10369.5555555556,11.625,1797.14285714286,315.8,1077.64285714286,1358.16666666667,23308.25
"TB002",145.066666666667,131,315.285714285714,4766.11111111111,46.75,414.571428571429,180.4,705.928571428571,1731.2,139815.75
"TB003",62.0666666666667,48,67,481.777777777778,24.875,240,108.8,421.571428571429,689.566666666667,33352.875
"TB004",323.4,103,257.142857142857,21713,16.875,1704.71428571429,359.2,675.285714285714,1380.7,42104.125
"TB005",148.733333333333,60,100.142857142857,11496.5555555556,10.625,1506.28571428571,226.4,657.571428571429,2609.4,35899.625
"AD001",302.133333333333,249,259.285714285714,43413.3333333333,13.875,1017.57142857143,235.8,727.714285714286,989.6,37309.75
"AD002",134.466666666667,54,47.5714285714286,2750,2.125,1019.14285714286,1070.8,783,371.8,7429.5
"AD003",185.533333333333,144,159.714285714286,42479.6666666667,9.25,678,86,382.428571428571,157.9,18948.5
"AD004",73.5333333333333,62,102,18045.5555555556,2.625,464.571428571429,57.4,172.357142857143,141.733333333333,6015.25
"AD005",93.9333333333333,28,98.1428571428571,9980.77777777778,12.375,605,61,464,299.166666666667,21054.75
"SA001",247.066666666667,147,218.142857142857,13206.2222222222,22.75,708.714285714286,290.2,821.785714285714,1927.6,18429.125
"SA002",226.866666666667,38,103.714285714286,16510.6666666667,12,738.857142857143,393.4,927.642857142857,2424.36666666667,12168.25
"SA003",153.6,76,164.714285714286,21618.5555555556,27.25,475.857142857143,99.6,4194.78571428571,140.7,4238.375
"SA004",18.7333333333333,0,9.14285714285714,102.888888888889,5.25,1489.42857142857,210,917.428571428571,400.333333333333,4245.5
"SA005",96.6,25,49.7142857142857,1964.33333333333,7.875,1033.57142857143,343,793.428571428571,958.1,11862.375
