"ID","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"H1",0.410051016602546,NA,NA,NA,0.410051016602546,1
"L1",-0.125942145043179,NA,NA,NA,-0.125942145043179,0
"H2",0.496283475686045,NA,NA,NA,0.496283475686045,2
"L2",0.678284843469031,NA,NA,NA,0.678284843469031,2
"H3",0.816826538823668,NA,NA,NA,0.816826538823668,3
"L3",0.627123259688916,NA,NA,NA,0.627123259688916,2
"H4",-0.160018500455826,NA,NA,NA,-0.160018500455826,0
"L4",0.11143699714293,NA,NA,NA,0.11143699714293,0
"H5",-0.327446339253787,NA,NA,NA,-0.327446339253787,0
"L5",0.379161584714028,NA,NA,NA,0.379161584714028,1
