"ID","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter"
"H1",0.0720023333333333,201.738113,0.288912333333333,6.9306775,0.234747,1.7626485,3.9736195
"L1",0.721181333333333,125.272346,0.646525166666667,1.4431425,0.036579,5.223821,11.463854625
"H2",0.1336775,360.093262,0.215058166666667,15.231572,0.03214,3.514134,2.103273
"L2",0.580380833333333,14.38307,0.548226666666667,2.7982875,0.039221,10.6391655,16.12531975
"H3",0.135239666666667,32.891926,0.470010833333333,9.7295035,0.258142,0.011408,3.030494625
"L3",0.146642666666667,46.124161,0.2948605,3.33728,0.200042,0.0381145,4.348909125
"H4",0.0790518333333333,117.221367,0.2346125,6.7241135,0.539015,0.365104,7.822587
"L4",0.180568666666667,6.232916,0.200651333333333,3.270021,0.198087,5.1989165,20.381832
"H5",0.105626333333333,19.90309,0.279941166666667,23.41014,0.949096,0.0234545,0.949311875
"L5",0.286514666666667,4.529203,0.566781,4.4419085,0.346005,4.242117,13.08163475
