"Transcript_id","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5","hgnc_symbol","ensembl_gene_id","transcript_biotype"
"ENST00000361902.5",0,0,0,0,0,0,0,0,0,0,"GPX6","ENSG00000198704","protein_coding"
"ENST00000361902.5",0,0,0,0,0,0,0,0,0,0,"GPX6","ENSG00000198704","protein_coding"
"ENST00000370554.5",0.083642,0.073317,0.063468,0.079742,0.077433,0.076722,0.080496,0.069956,0.07193,0.068688,"SELENOF","ENSG00000183291","protein_coding"
"ENST00000370554.5",0.083642,0.073317,0.063468,0.079742,0.077433,0.076722,0.080496,0.069956,0.07193,0.068688,"SELENOF","ENSG00000183291","protein_coding"
"ENST00000374315.1",5.737133,2.001172,2.4909,2.806931,7.8e-05,2.464545,0.651345,2.12414,4.306115,3.385007,"SELENON","ENSG00000162430","protein_coding"
"ENST00000374315.1",5.737133,2.001172,2.4909,2.806931,7.8e-05,2.464545,0.651345,2.12414,4.306115,3.385007,"SELENON","ENSG00000162430","protein_coding"
"ENST00000402395.5",0.07421,0.083277,2.48217,0.076744,0.06446,0.07368,0.070757,0.072731,0.071193,0.071762,"SELENOM","ENSG00000198832","protein_coding"
"ENST00000402395.5",0.07421,0.083277,2.48217,0.076744,0.06446,0.07368,0.070757,0.072731,0.071193,0.071762,"SELENOM","ENSG00000198832","protein_coding"
"ENST00000474923.1",0,0,0,0,0,0,0,0,0,0,"GPX6","ENSG00000198704","protein_coding"
"ENST00000474923.1",0,0,0,0,0,0,0,0,0,0,"GPX6","ENSG00000198704","protein_coding"
"ENST00000507920.5",0.096947,0.099156,0.071898,0.093213,0.093306,0.102372,0.106826,0.093974,0.095128,0.095897,"SELENOP","ENSG00000250722","protein_coding"
"ENST00000507920.5",0.096947,0.099156,0.071898,0.093213,0.093306,0.102372,0.106826,0.093974,0.095128,0.095897,"SELENOP","ENSG00000250722","protein_coding"
"ENST00000511224.5",0,0,0,0,0,0,0,0,0,0,"SELENOP","ENSG00000250722","protein_coding"
"ENST00000511224.5",0,0,0,0,0,0,0,0,0,0,"SELENOP","ENSG00000250722","protein_coding"
"ENST00000517973.1",0.096693,0.096043,0.069685,0.092494,0.090589,0.102758,0.106848,0.095328,0.090307,0.093354,"GPX3","ENSG00000211445","protein_coding"
"ENST00000517973.1",0.096693,0.096043,0.069685,0.092494,0.090589,0.102758,0.106848,0.095328,0.090307,0.093354,"GPX3","ENSG00000211445","protein_coding"
"ENST00000531964.5",0.015489,0.008159,0.002756,0.002124,0.01018,0.008284,0.019652,0.005281,0.002987,0.005897,"SELENOS","ENSG00000131871","protein_coding"
"ENST00000531964.5",0.015489,0.008159,0.002756,0.002124,0.01018,0.008284,0.019652,0.005281,0.002987,0.005897,"SELENOS","ENSG00000131871","protein_coding"
"ENST00000542719.6",0.063123,0.062904,0.058047,0.090769,0.017817,0.077572,0.225554,0.043977,0.082295,0.029957,"TXNRD2","ENSG00000184470","protein_coding"
"ENST00000542719.6",0.063123,0.062904,0.058047,0.090769,0.017817,0.077572,0.225554,0.043977,0.082295,0.029957,"TXNRD2","ENSG00000184470","protein_coding"
"ENST00000557010.5",0,0,0,0,0,0,0,0,0,0,"DIO2","ENSG00000211448","protein_coding"
"ENST00000557010.5",0,0,0,0,0,0,0,0,0,0,"DIO2","ENSG00000211448","protein_coding"
"ENST00000588919.5",0,0,0,0,0,0,0,0,0,0,"GPX4","ENSG00000167468","protein_coding"
"ENST00000588919.5",0,0,0,0,0,0,0,0,0,0,"GPX4","ENSG00000167468","protein_coding"
"ENST00000611653.4",0.097152,0.098841,0.072774,0.097046,0.093543,0.106133,0.105169,0.097215,0.096189,0.095484,"GPX4","ENSG00000167468","protein_coding"
"ENST00000611653.4",0.097152,0.098841,0.072774,0.097046,0.093543,0.106133,0.105169,0.097215,0.096189,0.095484,"GPX4","ENSG00000167468","protein_coding"
"ENST00000003302.8",0.211143,0.070447,0.123294,0.054535,0.11062,0.041887,0.127923,0.049204,0.234802,0.157478,"USP28","ENSG00000048028","protein_coding"
"ENST00000003583.12",0.35765,0.119498,0.044625,0.600711,0.703069,0.582626,0,1.260654,0,0.715866,"STPG1","ENSG00000001460","protein_coding"
"ENST00000004531.14",0,0,0.436869,0,0,0,0,0.235295,0,0.085069,"SLC7A2","ENSG00000003989","protein_coding"
"ENST00000005082.13",0.143429,0.105551,0,0,0.071904,0,0,0,0.11262,0.115149,"ZNF195","ENSG00000005801","protein_coding"
"ENST00000005286.8",0.343506,0.009078,0.283545,0,0.124367,0,0,0,0.203966,0,"TMEM132A","ENSG00000006118","protein_coding"
"ENST00000005374.10",0,0.568199,0.279198,1.161338,0,0,0.312185,0,0.873523,1.17716,"GGCT","ENSG00000006625","protein_coding"
"ENST00000005558.8",0,1.332412,0.074028,1.018372,0,0,0,0.290782,0,0,"IFRD1","ENSG00000006652","protein_coding"
"ENST00000006251.11",0,0,0,0,0,0,0,0,0,0,"PRR5","ENSG00000186654","protein_coding"
"ENST00000006275.8",0.288624,0.286775,1.276856,0.442541,0.289124,0.513953,0.162761,0.48031,0,0.249067,"TRAPPC6A","ENSG00000007255","protein_coding"
"ENST00000006724.7",0,0,0,0.01824,0,0,0.054017,0,0.023445,0,"CEACAM7","ENSG00000007306","protein_coding"
"ENST00000007708.7",0,3e-04,0,0.06428,0,0.009277,0,0,0,0,"PDK2","ENSG00000005882","protein_coding"
"ENST00000007722.11",0,0,0,0,0,0,0,0,0,0,"ITGA3","ENSG00000005884","protein_coding"
"ENST00000007969.12",0.003599,0.283954,0.092965,0.123004,0.130516,0,0.213507,1.122654,0.016608,0.130329,"LRRC23","ENSG00000010626","protein_coding"
"ENST00000008180.13",1.069767,0.897458,1.329431,0.904721,0.81579,0.177488,0.871564,1.116398,1.45813,0.292656,"IL32","ENSG00000008517","protein_coding"
"ENST00000008440.9",0.71231,0.261567,0.054309,0.660392,0.610156,0,0.324125,0.510001,0.63016,0,"SPRTN","ENSG00000010072","protein_coding"
"ENST00000009105.5",0.322879,0.123696,0.171396,1.299008,0.216332,0.028611,0.292729,0.649074,0.358567,0.482145,"CAMK1G","ENSG00000008118","protein_coding"
"ENST00000010132.6",0,0.136056,0.239691,0.143512,0.048835,0.987504,0.115493,0.32838,0.046807,0.134371,"DYRK4","ENSG00000010219","protein_coding"
"ENST00000010299.10",0.009755,0.02491,0.001519,0,0,7.2e-05,0,0,0,0,"FAM76A","ENSG00000009780","protein_coding"
"ENST00000010404.6",0,0,0,0,0,0,3.038719,0,0,0.737559,"MGST1","ENSG00000008394","protein_coding"
"ENST00000011473.6",0,0,0,0.005717,0,0,0,0,0,0,"SYPL1","ENSG00000008282","protein_coding"
"ENST00000011684.11",0,0.249202,0,0,1.275242,0.370218,0,0,0,0.084197,"PLEKHG6","ENSG00000008323","protein_coding"
"ENST00000011989.11",0,0,0,0,0,0,0,0,0,0,"CYP4F2","ENSG00000186115","protein_coding"
"ENST00000012134.7",0.019656,0.043932,0.031558,0.095953,0.041606,0.070246,0.047799,0.450737,0.211999,0.176982,"HIVEP2","ENSG00000010818","protein_coding"
"ENST00000013034.3",0,0,0,0,0,0,0,0,0,0,"NME1","ENSG00000239672","protein_coding"
"ENST00000013222.5",0.02329,0.0256,1.44396,38.909737,17.553806,0.026672,0.395732,1.058572,1.783504,38.263695,"INMT","ENSG00000241644","protein_coding"
"ENST00000013807.9",1.121234,1.424236,1.832279,1.849038,1.736012,1.049558,1.835445,0.893257,1.317768,0.875534,"ERCC1","ENSG00000012061","protein_coding"
"ENST00000016913.8",0,0,0,0.006768,0,0,0,0,0,0,"MS4A12","ENSG00000071203","protein_coding"
"ENST00000019019.6",0.138154,0.15448,0.454746,0.058636,0.181866,0.143147,0.337927,0.122655,0.129819,0.176429,"FTSJ1","ENSG00000068438","protein_coding"
"ENST00000019317.8",4.45139,0,4.434082,4.62432,4.911473,4.043502,0,0.742589,0.269736,0,"RALBP1","ENSG00000017797","protein_coding"
"ENST00000023897.10",0,0,0,0,0,0,0,0,0,0,"GABRA1","ENSG00000022355","protein_coding"
"ENST00000023939.8",1.316713,0.981887,8.456552,0.798552,0.04543,1.211629,0.067034,0.029218,0.028041,0.089439,"RTF2","ENSG00000022277","protein_coding"
"ENST00000024061.7",0.09041,0.108584,0.117215,0.099629,0.064209,0.050255,0,0.023649,0.006512,0.091593,"SLC45A4","ENSG00000022567","protein_coding"
"ENST00000025399.10",0,0.000212,0.000246,0,0.00042,0.000423,0,0,0.000202,0,"STRAP","ENSG00000023734","protein_coding"
"ENST00000026218.9",1.530897,0.83348,1.383236,0,1.223037,0,0.83676,1.109767,0.785436,0.933676,"PIGQ","ENSG00000007541","protein_coding"
"ENST00000031146.8",7.086609,5.762464,7.402941,4.945835,7.113671,5.883693,8.281858,9.015448,8.602,7.68629,"SLC39A9","ENSG00000029364","protein_coding"
"ENST00000033079.7",3.450647,5.698936,3.886659,6.823632,4.610585,4.205003,5.669129,5.650572,4.995261,5.465171,"FAM13B","ENSG00000031003","protein_coding"
"ENST00000034275.12",2.664371,1.939084,1.618687,3.709837,2.571765,2.239109,3.273904,4.425101,4.288022,2.968034,"RANBP3","ENSG00000031823","protein_coding"
"ENST00000042931.1",0,0,0,0,0,0,0,0,0,0,"BEST2","ENSG00000039987","protein_coding"
"ENST00000045083.6",0.004928,0.007054,0.023524,0.003658,0,0,0,0.001249,0.00405,0.009246,"RIPOR3","ENSG00000042062","protein_coding"
"ENST00000045347.11",0,0,0,0,0,0,0,0,0,0,"SPATA7","ENSG00000042317","protein_coding"
"ENST00000052569.10",0.905125,0.488907,0.914565,1.401244,0.965823,0.802387,1.414703,0.752797,1.594236,0.770213,"GOPC","ENSG00000047932","protein_coding"
"ENST00000054668.5",0,0,0.13016,0,0,0,0,0,0,0,"UTS2","ENSG00000049247","protein_coding"
"ENST00000064778.8",0.240861,0.309312,0.239438,2.72662,1.474605,0.978838,1.531057,2.518502,0.352311,0.49059,"FAM168A","ENSG00000054965","protein_coding"
"ENST00000072516.7",0.006066,0.057303,0.035846,0.076189,0.038145,0.061417,0.039339,0.029368,0.011654,0.005761,"IL1RAP","ENSG00000196083","protein_coding"
"ENST00000075430.11",0.807646,0.175896,0.332484,0.420662,0.076612,0.287756,0.945762,0,0.745666,0.467149,"CTDP1","ENSG00000060069","protein_coding"
"ENST00000085068.7",1.307303,0.786381,1.430777,0.298504,0.753896,0.061712,0.649313,0.361095,0.81923,0.417477,"ISOC2","ENSG00000063241","protein_coding"
"ENST00000085079.11",0.455229,0.155297,0.101578,0.358953,0.23325,0,0,1.186855,0.16387,0.193655,"EPN1","ENSG00000063245","protein_coding"
"ENST00000155674.9",0.023342,0,0,0,0,0.008975,0,0,0.006063,0,"HDHD5","ENSG00000069998","protein_coding"
"ENST00000156084.8",0.025472,0.011821,0.008708,0.006572,0.003906,0.013523,1.040376,0.016421,0.01957,0.040606,"OTUD5","ENSG00000068308","protein_coding"
"ENST00000156825.5",0.686055,1.089816,1.013026,1.753815,0.733621,0.658514,0.430789,0.852855,0.395645,0.652766,"MBD3","ENSG00000071655","protein_coding"
"ENST00000158166.5",0.322081,0.223931,0.033218,0.235235,0.048272,0.074331,0,0.055105,0.780258,0.075437,"CAMKK1","ENSG00000004660","protein_coding"
"ENST00000159647.9",0.40574,0.187416,0.016032,0,0,0.150122,0.207804,0,0.197738,0.133335,"PANX2","ENSG00000073150","protein_coding"
"ENST00000160740.7",0.100816,0.133155,0.688025,0.05988,0.016948,0.003104,0.005875,0.336433,0.009876,0.019739,"CIC","ENSG00000079432","protein_coding"
"ENST00000164247.5",0.172176,0.017198,0.090703,0.016612,0.052768,0,0,0.013848,0.050509,0.017801,"KCNAB2","ENSG00000069424","protein_coding"
"ENST00000164640.8",0,1.194085,0,0,0,0,0.839985,0,0,0.354858,"PDZD4","ENSG00000067840","protein_coding"
"ENST00000165524.1",0,0,0,0,0,0.085043,0,0,0,0,"PRLH","ENSG00000071677","protein_coding"
"ENST00000165698.9",0,0.251008,0,1.432707,0,0.244061,0,1.389543,0,1.203703,"REEP1","ENSG00000068615","protein_coding"
"ENST00000166534.8",0,0.295598,0.143877,0.850728,0.483351,0.192693,0.492207,0.185312,0.21368,0.261976,"P4HA2","ENSG00000072682","protein_coding"
"ENST00000167462.9",0.355339,0.304684,0.001589,0.308445,0.183914,0.254309,0.116572,0,0,0,"LLGL2","ENSG00000073350","protein_coding"
"ENST00000169293.10",0.006781,0.018483,0.053972,0.083438,0,0.02421,0.026333,0,0.058798,0.106922,"MASP1","ENSG00000127241","protein_coding"
"ENST00000170630.6",0.006254,0.003839,0.002224,0.008146,0.004437,0.009341,0.026791,0.005945,0.008096,0.004862,"IL4R","ENSG00000077238","protein_coding"
"ENST00000171887.8",0.157354,42.331341,0.077847,42.207424,0.149603,0.167178,28.866434,68.280006,0.091189,38.730373,"TNS1","ENSG00000079308","protein_coding"
"ENST00000175238.10",0,0,0.002578,0.004855,0.004131,0,0,0,0,0,"ADAM7","ENSG00000069206","protein_coding"
"ENST00000175506.8",0.261718,0,0.092484,0,0,0,0.629267,0,0,0,"ASNS","ENSG00000070669","protein_coding"
"ENST00000177648.13",1.58343,1.783276,0.514218,0.643179,1.606955,0,0.837348,0.92183,2.222027,0,"ALPK1","ENSG00000073331","protein_coding"
"ENST00000177742.7",0.161235,0.118461,0.39802,0.277512,0,0.421153,0.24395,0.260878,0.622072,0.329513,"MRPS34","ENSG00000074071","protein_coding"
"ENST00000182377.8",0,0,0,0,0,0.19462,0,0,0.177091,0.214715,"FAR2","ENSG00000064763","protein_coding"
"ENST00000184183.8",0,0,0,0.01805,0,0.015218,0.012642,0.005526,0.061512,0.023841,"ROPN1","ENSG00000065371","protein_coding"
"ENST00000187397.8",0.008776,0,0.006544,0.018431,0.003301,0.009208,0.009499,0,0,0,"ARPP21","ENSG00000172995","protein_coding"
"ENST00000187608.13",0,0,0,0,0,0,0,0,0,0,"CEACAM21","ENSG00000007129","protein_coding"
"ENST00000187879.12",0.000283,0.235158,0.106672,0.174683,0,0,0.084282,0,0.000974,0.20097,"ZNF222","ENSG00000159885","protein_coding"
"ENST00000188376.9",0.375689,0.167158,0.404196,0.368382,0.241562,0.311804,0.452804,0.031954,0.560601,0.156998,"SLC25A3","ENSG00000075415","protein_coding"
"ENST00000188403.7",0,0,0.03417,0,0,0,0,0,0,0,"NR1H4","ENSG00000012504","protein_coding"
"ENST00000189978.10",0,0,0,0,0.02077,0.040401,0,0.015084,0,0,"MUSK","ENSG00000030304","protein_coding"
"ENST00000191018.9",1.287644,1.084886,1.568651,0,0.000871,0,0,0,2.001303,0,"CTSA","ENSG00000064601","protein_coding"
"ENST00000191063.8",0,0,0.362768,0,0.133068,0.207828,0,0,0,0,"ANKRD16","ENSG00000134461","protein_coding"
