"ID","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER"
"H1",0,0.0916497703051949,0.330091515384677,0.170298423180036,0,0.683528011491275
"L1",0,0.060882088691785,0.343209813756243,0.164621449968896,0,0.648398591818442
"H2",0,0.0766695174486481,0.334161532695427,0.167230154154688,0,0.665604147590771
"L2",0,0.0797145850059655,0.331288107779107,0.167033366359359,0,0.646444532446751
"H3",0,0.0816732058195093,0.331964215239998,0.167972356094541,0,0.658293774521538
"L3",0,0.0481283730147004,0.344652815897235,0.166758969157868,0,0.640440269014486
"H4",0,0.0743325947865582,0.334408818197828,0.166928272807413,0,0.651462545590746
"L4",0,0.0817755154393787,0.326917084731041,0.166247174668825,0,0.661359557404066
"H5",0,0.0745227570735758,0.332722127563027,0.170006443837587,0,0.658752496793831
"L5",0,0.0659902613129393,0.335041912736536,0.166983134974323,0,0.648019856554997
