"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"H1",0.334765549532936,0.283923810289073,0.173854064380011,2.74656717613136e-06,0.129816986813869,0.0776192793059442,1.70729964995829e-05,4.90114491102348e-07,0.0720023333333333,201.738113,0.288912333333333,6.9306775,0.234747,1.7626485,3.9736195,402.255982555103,504.435873853899,906.691856409002,0.739762469682584,0,0.0916497703051949,0.330091515384677,0.170298423180036,0,0.683528011491275,0.410051016602546,NA,NA,NA,0.410051016602546,1
"L1",0.0858669222519584,0.211081562906238,0.408845418861218,0.000679339155038481,0.261732761611262,0.0114703164647338,0.0203236526962112,2.60533398896112e-08,0.721181333333333,125.272346,0.646525166666667,1.4431425,0.036579,5.223821,11.463854625,444.29076279118,373.321094274776,817.611857065955,0.748497340964057,0,0.060882088691785,0.343209813756243,0.164621449968896,0,0.648398591818442,-0.125942145043179,NA,NA,NA,-0.125942145043179,0
"H2",0.00245284746567328,0.840197162774484,0.000911329156921848,8.82405226341188e-05,0.0599564660263714,0.0960841644534433,0.000300314557911022,9.47504256110215e-06,0.1336775,360.093262,0.215058166666667,15.231572,0.03214,3.514134,2.103273,474.743216561413,470.149498564141,944.892715125554,0.735977789651312,0,0.0766695174486481,0.334161532695427,0.167230154154688,0,0.665604147590771,0.496283475686045,NA,NA,NA,0.496283475686045,2
"L2",0.135646168751631,0.200423838529914,0.392997450492513,0.0458209978918704,0.224985893084424,0.000104035172312026,2.16151270029585e-05,9.50332415576462e-10,0.580380833333333,14.38307,0.548226666666667,2.7982875,0.039221,10.6391655,16.12531975,392.823164187214,423.864447503325,816.687611690539,0.748587300984763,0,0.0797145850059655,0.331288107779107,0.167033366359359,0,0.646444532446751,0.678284843469031,NA,NA,NA,0.678284843469031,2
"H3",0.284750546951561,0.374677723494396,0.24948965414405,0.00157817489032432,0.089501747698904,1.33771732245437e-06,8.07445212678397e-07,7.6582291558211e-09,0.135239666666667,32.891926,0.470010833333333,9.7295035,0.258142,0.011408,3.030494625,537.598348032784,506.379325742151,1043.97767377494,0.726053568261959,0,0.0816732058195093,0.331964215239998,0.167972356094541,0,0.658293774521538,0.816826538823668,NA,NA,NA,0.816826538823668,3
"L3",0.321692338910671,0.228306816457378,0.279490117312504,0.0326500098582302,0.1378489495875,1.86580708967308e-07,1.15684728962209e-05,1.28201113606382e-08,0.146642666666667,46.124161,0.2948605,3.33728,0.200042,0.0381145,4.348909125,422.636238036017,431.51099839642,854.147236432436,0.744930206102016,0,0.0481283730147004,0.344652815897235,0.166758969157868,0,0.640440269014486,0.627123259688916,NA,NA,NA,0.627123259688916,2
"H4",0.136031644635079,0.690082591600219,0.00160127611836964,0.00041724278480236,0.15613317810787,2.18804398365984e-08,0.015734022736987,2.21362326263119e-08,0.0790518333333333,117.221367,0.2346125,6.7241135,0.539015,0.365104,7.822587,457.352805929984,444.081385580759,901.434191510743,0.740281544850343,0,0.0743325947865582,0.334408818197828,0.166928272807413,0,0.651462545590746,-0.160018500455826,NA,NA,NA,-0.160018500455826,0
"L4",0.21081926260962,0.289015849397107,0.189259310898233,7.5375233682202e-05,0.310379455994805,1.18981179940804e-07,0.000450616517341993,1.0368031518767e-08,0.180568666666667,6.232916,0.200651333333333,3.270021,0.198087,5.1989165,20.381832,449.687738844252,366.759493774156,816.447232618408,0.748610695659182,0,0.0817755154393787,0.326917084731041,0.166247174668825,0,0.661359557404066,0.11143699714293,NA,NA,NA,0.11143699714293,0
"H5",0.183901112158501,0.629467081599719,0.136703369517717,4.38027252539472e-06,0.00211607895707809,0.0476974669183738,0.000110445136083451,6.5440001353558e-08,0.105626333333333,19.90309,0.279941166666667,23.41014,0.949096,0.0234545,0.949311875,468.92174429532,498.663377485941,967.585121781262,0.733718617042081,0,0.0745227570735758,0.332722127563027,0.170006443837587,0,0.658752496793831,-0.327446339253787,NA,NA,NA,-0.327446339253787,0
"L5",0.282277899671279,0.13469231733766,0.401818508653349,1.41438956083158e-05,0.1810821497178,1.5475394715267e-09,0.000114937154012885,4.20227499861144e-08,0.286514666666667,4.529203,0.566781,4.4419085,0.346005,4.242117,13.08163475,409.735985481436,438.431815225715,848.167800707151,0.745515477850751,0,0.0659902613129393,0.335041912736536,0.166983134974323,0,0.648019856554997,0.379161584714028,NA,NA,NA,0.379161584714028,1
