"ID","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate"
"TP0003_CD8_LTBI",-1935.85885444096,3655.35594127749,1719.49708683653,0.654413645298539
"TP0004_CD8_LTBI",-1981.70064385547,3653.04724288242,1671.34659902695,0.659741578950351
"TP0005_CD8_LTBI",-1843.01468032232,3756.17945015691,1913.16476983459,0.632656539088672
"TP0008_CD8_LTBI",-1758.02041129294,3769.67057769701,2011.65016640407,0.621395226330397
"TP0015_CD8_LTBI",-1970.65036058957,3720.43210772174,1749.78174713218,0.651045832003855
"TU0084_CD8_HC",-1896.00661858727,3752.93556384139,1856.92894525412,0.639027671287082
"XT0101_CD8_HC",-1944.62489892651,3660.58425594155,1715.95935701505,0.65480621711693
"TU0079_CD8_HC",-1877.76981588275,3602.44679248454,1724.67697660179,0.653838529326186
"TU0119_CD8_HC",-1835.23782578196,3679.7566586574,1844.51883287544,0.640427801900913
"TP0001_CD8_LTBI",-1934.97277305715,3667.31213831428,1732.33936525713,0.652987091889777
"TP0007_CD8_LTBI",-2023.02486790126,3669.62867269406,1646.6038047928,0.662466608845115
"TU0146_CD8_HC",-2065.71073293539,3606.5236766527,1540.81294371731,0.674018811980531
"XT0103_CD8_HC",-1967.44381532321,3715.21649878766,1747.77268346445,0.651269649616571
"TP0013_CD8_LTBI",-1901.19443945593,3724.03521089914,1822.84077144321,0.642868457426042
"TU0005_CD8_LTBI",-1790.74233686088,3727.95913326081,1937.21679639993,0.629918422533169
"TU0010_CD8_LTBI",-1815.91260303825,3723.96123608285,1908.0486330446,0.63323795133464
"TU0013_CD8_LTBI",-1910.06755907975,3826.47444524995,1916.4068861702,0.632287911104032
"TU0021_CD8_LTBI",-1967.05461831816,3564.39791092109,1597.34329260293,0.667865827195181
"TU0022_CD8_LTBI",-1955.59449048786,3701.59361269665,1745.99912220879,0.651467184261779
"TU0024_CD8_LTBI",-1929.84397976878,3699.73309338239,1769.88911361361,0.64880267619008
"TU0033_CD8_LTBI",-1988.61071382856,3716.91042693999,1728.29971311143,0.653436077266389
"TU0035_CD8_LTBI",-1711.94423055151,3799.65725175418,2087.71302120267,0.6126088163379
"TU0046_CD8_LTBI",-1891.65251022542,3708.69024649226,1817.03773626685,0.643520696959293
"TU0050_CD8_HC",-2140.48667729204,3576.42160045671,1435.93492316467,0.685310906196522
"TU0052_CD8_HC",-1680.99317701823,3890.96174622082,2209.96856920259,0.598326903823106
"TU0053_CD8_HC",-2024.15909027736,3668.84376942405,1644.6846791467,0.662677605648594
"TU0056_CD8_HC",-1896.49730779195,3725.29636284208,1828.79905505013,0.642198283204543
"TU0057_CD8_HC",-1958.91665059733,3724.05153177254,1765.13488117521,0.649333564092434
"TU0059_CD8_HC",-2017.82928810788,3689.92580792383,1672.09651981595,0.659658850899595
"TU0063_CD8_LTBI",-2016.55849783414,3736.16983078357,1719.61133294942,0.65440096479015
"TU0070_CD8_LTBI",-1924.29250846676,3722.73223918251,1798.43973071575,0.645607894918865
"TU0071_CD8_HC",-1871.51276402807,3824.1732307287,1952.66046670063,0.628156151817407
"TU0075_CD8_LTBI",-2038.2275573852,3602.42422775281,1564.1966703676,0.671479239647354
"TU0085_CD8_HC",-2004.48203613675,3721.4135765905,1716.93154045376,0.654698354275965
"TU0094_CD8_HC",-1863.33380176313,3802.41191172671,1939.07810996358,0.629706200213385
"TU0110_CD8_HC",-1913.74133065606,3726.98735730866,1813.24602665259,0.643946618799678
"XT0082_CD8_HC",-1866.31218657524,3769.08183854828,1902.76965197304,0.633837495292382
"XT0106_CD8_HC",-1827.64449009901,3728.29977264299,1900.65528254398,0.634077521538411
"XT0123_CD8_HC",-1959.89617892075,3726.79186880586,1766.89568988511,0.649136977825369
"XT0134_CD8_LTBI",-1890.60668843549,3803.5884049286,1912.98171649312,0.632677347944617
