gene	log2FoldChange	pvalue
HSF2	0.29269299	0.351950717
PHF20	0.336056446	0.332439904
NCAPH2	0.060054643	0.853191964
SEC63	0.081749141	0.770281584
KPNA6	0.072646876	0.647314162
FAS	0.285529767	0.651003358
RNASET2	0.340626773	0.539228156
CD44	0.004378707	0.993982319
KCNG1	0.074561085	0.918093881
AGPAT4	0.071408647	0.867702814
SLAMF7	0.100681426	0.854236345
BTN3A1	0.704673165	0.08213625
PRKCH	0.992006099	2.93E-02
INSRR	0.959131474	0.160439174
IFNGR1	0.685346846	0.229718674
SH2D2A	1.356533505	4.59E-02
TNFRSF1B	0.007126911	0.991055869
VEZT	0.154570722	0.591425847
BCLAF1	0.402580411	0.297171071
ANK1	0.764973947	0.075264329
IBSP	0.494181297	0.875755844
RABEP1	0.287258922	0.255132203
NUP160	0.123354021	0.459552349
MUSK	0.076563834	0.971782274
IKZF2	1.330922635	0.006823695
FAM13B	0.327198383	0.190780862
CENPQ	0.093090092	0.887768698
RANBP3	0.083911924	7.43E-01
ARID4A	0.429628566	0.266862298
IFT88	0.594721902	0.096198498
ZCCHC8	0.355374591	0.197986568
LRRC7	0.387485259	5.99E-01
FUT8	0.260644977	0.383543351
UBA6	0.019609916	0.951023572
GAB2	0.357587277	0.506126376
PIAS1	0.905299934	0.0388128
SLC4A7	0.096457298	0.752742324
APBA2	1.233479436	0.051632416
EFCAB1	0.936371762	0.653078216
ASTE1	0.696336201	2.22E-03
RNF19A	0.474287203	0.175397249
PEX3	0.006462146	0.982643585
SH3YL1	0.614454025	0.069749874
FAM136A	0.330799166	0.194388805
VCL	0.154005604	6.62E-01
DAPK2	0.654902989	0.233849872
NSMAF	0.221583801	0.569204957
ADSS2	0.206719315	0.428661387
STAP1	1.233887432	0.205735053
RFC1	0.357879259	0.209235883
TBC1D23	0.039103825	0.912524464
CUL3	0.371626726	0.184785832
OTC	0	1
CYP46A1	1.93E-05	0.99998623
ZZZ3	0.217212656	0.476292767
USP2	0.314376213	0.54090719
CASR	1.236941976	0.150460099
TUBG2	0.113336046	0.773984633
FLT4	1.647111409	0.002230183
NSUN2	0.006800025	0.960986938
FBXO42	0.101803225	0.58688299
HOXC8	1.157996535	0.169791516
BOD1L1	0.860802123	0.109112702
MAT2B	0.100702953	0.588078494
EDC4	0.107542182	0.661048101
CDH1	0.231214211	0.678582329
MTREX	0.077359093	0.804110894
ZFYVE16	0.338338129	0.510380327
SOX30	0.187507463	0.885232105
BEST2	3.098858848	0.044720377
PHLPP2	0.04921622	0.859131696
STAU2	0.325618703	0.175440454
RTN4R	0.168658314	0.858410306
PHF23	0.013746545	0.96296176
INPP4A	0.526821349	0.059121034
RAB27B	0.982598693	0.08520802
MYO16	0.3232302	6.13E-01
LSG1	0.284163576	0.223243319
PARP3	0.124118186	0.689749495
THAP3	0.111164536	0.673107759
TDP1	0.686774644	0.036110313
MED17	0.219330161	0.491082989
USH2A	0.416401888	0.72451709
TG	0.57319804	0.318477462
ADAM28	0.631353411	0.394245658
BARX2	0	1
DCUN1D1	0.235329407	0.582429952
JADE2	0.741126439	0.057342512
ZIC2	0	1
LCP2	0.090471485	0.885540439
TRIT1	0.22027681	0.404883275
EPHA3	0.598305415	0.465215116
GEMIN8	0.08190745	0.77852603
OFD1	0.596624595	0.111357439
GPM6B	1.045923751	0.083100051
MAGEC2	0	1
WDR37	0.148203564	0.580185086
YTHDC2	0.099874752	0.751252762
POLR2B	0.098257852	0.589748925
FAM214A	0.769320074	9.87E-02
ARAP2	0.503061449	0.29638969
TPR	0.337343269	0.462297693
CP	1.181339715	1.77E-01
DTNBP1	0.136337601	0.695979589
WWC3	0.165636845	0.472201797
ARHGAP6	0.000470578	9.99E-01
FAM184B	0.332523858	0.584180597
GOPC	0.236047401	0.405659841
ROS1	1.541917013	0.54251892
USP28	0.541208272	0.026341079
CC2D2A	0.441257493	3.70E-01
RRM2B	0.267486056	0.426599656
ZNF800	0.230585739	0.546888979
TNFRSF17	2.497299261	0.030781745
MRPS10	0.157637034	0.51500366
GUCA1A	0.495355393	0.875464745
RSF1	0.326506495	0.313628646
VPS13D	0.085362627	0.657390966
CELF2	0.481877207	0.336142042
R3HDM1	0.348577182	0.143371409
ERCC8	0.215890826	0.504927185
ADAMTS6	2.301566654	2.35E-06
UTS2	0.601325332	0.395764923
ARID1B	0.291491462	0.149431883
FOXP3	0.934005889	0.099179931
NEXMIF	1.441280418	0.131012786
LIMA1	0.079539408	0.827041929
LETMD1	0.231450281	0.250624449
MAPK9	0.136062899	0.503991859
FAM160A2	0.042021642	0.861600455
RAD51	0.299910359	0.650708274
PIK3CB	0.11782856	0.745056357
HEBP2	0.192811595	0.54392134
MPHOSPH9	0.387547573	1.64E-01
PRSS8	0.563007042	0.450804909
SIKE1	0.082689307	0.817166751
TTC17	0.209120811	0.303707863
ALX4	0.594723134	0.487193027
FOXN3	0.101214796	0.673514333
METTL24	1.294256445	0.073284727
NNAT	0.333089489	0.472698176
MCF2L2	0.142219915	0.729519867
NRIP2	0.986144273	0.017138698
LAMA3	0.244949281	0.618983853
ANAPC4	0.265478953	0.318254566
THRAP3	0.151657487	0.446588844
ENTPD2	1.242140749	0.333988646
LY75	0.833948933	0.041877058
ARID4B	0.395682203	0.446710132
FOXC1	0.115478845	0.83366163
SYNE2	1.166437227	0.014784856
ATP9A	0.966034366	0.01818633
SPO11	0.495355393	8.75E-01
NOP58	0.314319348	0.443551928
CUL1	0.121627382	0.488584511
CYFIP2	1.093960574	0.027777454
TAB2	0.360219839	0.332964613
GINM1	0.070369483	0.798592826
EIF2AK2	0.313408903	0.266448972
USP36	0.502255512	0.223269276
KMT2C	0.360433693	0.319674188
PUM2	0.188428842	0.385053201
ITIH1	0.862334101	0.458621114
ZFR	0.078527042	0.769512542
ZNF280C	0.267989168	0.450046218
PHF21B	0.501425062	0.674667588
RC3H2	0.292405782	2.39E-01
IL17RB	0.546617205	0.103768072
TRAF3IP2	0.205892628	0.492267231
DCBLD2	0.00930026	0.986975978
SERPINB3	2.887050972	0.307403925
MSH4	2.317470874	0.019451234
F7	0.752655838	0.565672825
TMCC3	1.031938552	0.123658938
MTA3	0.283877184	0.410602409
ATP11B	0.813762441	0.10840882
CDK14	0.401892236	0.336448201
PPP1R12A	0.447386276	0.164384626
CAMK2B	0.4563099	0.56867908
CROCC	0.255444024	0.283762906
POLR3E	0.585911508	0.160359766
ATP2B4	0.43384382	0.28195142
ZC3H11A	0.114483833	0.803320882
RIOK2	0.717386068	0.019555019
UNKL	0.434506174	0.185014813
ALDH18A1	0.129127857	0.730549745
TARBP1	0.193991179	0.629988897
MXD1	0.364931455	0.53265666
CDK17	0.613843451	0.177153929
DNAJC25	0.387466698	0.250384241
SLC2A3	0.334941207	0.472641288
CTDP1	0.49709453	0.260660509
STYK1	0.197518012	0.635645434
WNK1	0.271047734	0.335718997
CCAR1	0.504304138	0.071334877
CREB3L3	0.082850127	0.901373916
PIGV	0.131414068	0.599148075
PTPRU	0.971975357	0.233403328
SNRNP40	0.067952112	0.783817234
QSER1	0.100794341	0.768362717
MPC1	0.081795666	0.791052338
PRDM6	0.194153392	0.795003032
WNT8A	0	1
GUCY1B1	0.05728041	0.917259824
SFSWAP	0.31813922	0.197145774
TNK2	0.209230784	0.635454646
MON2	0.276581764	0.314087602
CDH3	2.094167526	0.007203536
ARSF	0.680448322	0.786565412
GPBP1	0.1624936	0.636615426
DGAT2	0.823516639	0.221544331
ZNF112	0.322035799	0.622135032
LTK	1.300732687	0.011996513
WAPL	0.266367656	0.305555358
APPBP2	0.135515157	0.604719903
SEZ6	0.679595638	2.27E-01
EIF4B	0.381315142	9.93E-02
SLC6A16	0.860830069	0.10203763
BICRA	0.139063915	0.543331617
CA11	0.431921985	0.271233681
GSC2	0.522354804	0.745293771
MTMR1	0.58005026	0.118415899
RNF4	0.190093451	0.376075889
CASP8	0.753737857	0.077027671
INTS13	0.018797922	9.54E-01
TSPAN32	0.712729693	1.01E-01
DMRT3	0	1
ST3GAL6	0.151470791	0.800942882
ATP2C2	1.04020479	0.19106217
