"","NM001","NM002","NM003","NM004","NM005","TB001","TB002","TB003","TB004","TB005","AD001","AD002","AD003","AD004","AD005","SA001","SA002","SA003","SA004","SA005"
"A1BG",0.0953482629822993,0.222410658487428,0,0.170869419685321,0.281744233210403,0.0434108088807645,0.217944341533298,0.0468685797280841,0.085823847041112,0.1796124117781,0.140519733034255,0.213357555554965,0.137216930177583,0.0299545909612672,0,0.133113040765691,0.0893623083931583,0.643120690198344,0.184745763151293,0.189127433295221
"A1BG-AS1",1.51393345261097,1.41256872676898,1.53398041874771,1.35652670745482,1.34205492495434,1.65425752827882,1.55722766844848,0.297670491343437,2.04405810347212,0.998155924045715,1.67337231380934,2.16811343590427,0.599148384561788,0.380493621149317,0.265468118761516,0.704520037354565,1.48983330204199,1.33534059090876,2.44448423700185,3.70364197777218
"A1CF",0,0.0157874456292262,0,0,0.0999956970004809,0,0,0.0499033067395468,0.0304603054562956,0,0.0249363908658753,0.0605793055209899,0,0,0,0.0157480079710906,0,0.105348087582883,0.0874257768884701,0.111874100011271
"A2M",1805.60547881582,847.82800107525,794.053898864142,569.899311602545,2605.78903438274,1471.92152799318,662.26981665769,165.562859818063,1341.73845870587,1866.00513551445,807.820793459757,182.445559694112,81.9787170712914,30.3956689947164,102.497725907583,2483.76600958762,1737.25401170257,51.1260305417718,237.187908332736,708.24501283021
"A2M-AS1",1.96284763290692,0.915713031135889,0.526147873097039,2.21102057430724,2.48571912187195,1.65965184630582,2.96437469928563,1.79184693593473,1.2619836986654,0.594243759750197,1.29140689435286,0.25098269665631,0.30265282034386,0.484508996930897,0.430231483775457,1.82685108816636,0.919810125608535,0.218230853603759,0.905521986924165,1.2050980771388
"A2ML1",0.0483460008105152,0.0676635244681692,0.0181430301067945,0.0173277474475489,0.214286131195858,0.132067786178182,0.0276269776261475,0.190116385775569,0.10879169816081,0.0455359202873714,0.124687562213379,0,0.921873533231296,0.015188369809746,19.1802705821078,0.0674944983312694,0,1.75588043129461,0.0624497922016666,0.159827331185517
"A3GALT2",0.630435631292544,0,0,0.451910363539203,0.310478656473634,0,0.900644871781055,0.61978313446874,0,0.593791961518607,0.116138254428605,0,0.22681703707751,0.0990287650351962,0.138183551554748,0,0.295428472126746,2.28968181363344,0,0.208416089737517
"A4GALT",19.2293597348843,25.9076003279909,16.354894048261,11.7149728545161,25.0668066878974,20.2120988846624,41.9560167705655,18.7445720333682,12.5148307787468,28.4119572026023,12.3123241274005,10.5525377376298,10.4725303526279,21.4822755412697,55.7462968603513,27.5455610369007,18.8984833818568,11.221519266665,7.08937410337754,10.5905958096045
"A4GNT",0.549037160169358,0,0.1831464408813,0.262374745687063,0.0600869590564751,0,0.0697207494386696,0.0599733396293531,0.0549103765972457,0,0,0,0.0438959192073955,0.0766601790624334,0.0534853474235744,0.397442064205697,0.0571742956840071,0.253212744754015,0,0.161339129626545
"AAAS",45.7268555794679,27.4389799750712,15.5015311688948,21.6895534365597,37.0026073228933,28.1712121513165,64.402897589945,28.075489884643,36.109897292334,33.1423246081027,34.3213336772239,33.016727438367,55.2257637121913,27.3959920198766,49.1822721869977,45.2482357781396,30.0311529450697,23.2840931836588,45.5625058787093,72.4935321939664
"AACS",23.170765033655,23.1892487716945,13.4219475319567,9.78640591381721,17.140476883908,15.0579851933072,21.9214383917099,9.83004878389956,12.5050769902041,11.2289352866068,15.1257091346922,21.3417606101311,17.364487495976,13.3504593234659,15.7630599856737,11.8564798773042,13.2909781545573,12.2714188997224,36.6366528400743,52.4442365343532
"AADAC",26.7275845713644,7.92255781405078,25.5643003092451,30.7787873048727,0.475193993974457,36.0229178996084,0.11027644570102,0,24.6657017345373,1.72674062777336,1.77751996230495,0.259093448074288,0.694296316368319,6.06262277863589,1.18435956036332,28.5577260384046,11.6657119033963,0.400503461630677,0,1.40353456482123
"AADACL2",0.0301597292747976,0.647229161283316,0,0,0.118825164823243,0,0.0344691247224848,0,0,0,0.0666719608756806,0,0,0,0,0.0280701024984142,0.11306521772752,0.219074494514311,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0.0374506274126717,0.0585989811494268,0,0,0,0,0.0370068478314482,0,0.495123021739725,0,0
"AADACL4",0,0.0723610242428553,0.0582077974085228,0.111184295791391,0,0,0.443174460717662,0.304972653468745,0.0698066980983744,0,0,0,0,0,0,0,0,1.36809786370162,0,0
"AADAT",5.54679125197596,3.4670211384976,2.5868058423475,2.97239739865953,6.20599546960349,6.1786021409412,8.12421382136449,2.38240786533638,3.29616316752284,2.68827708430005,3.49206086061481,9.83308961849872,11.5086919158812,0.270691854725466,0.330505147856897,3.05739106391044,3.88630530692985,0.391173095415333,8.69530966067794,14.1712499333649
"AAGAB",21.5007160671379,20.1011876069337,17.7478626450859,21.134086731815,18.8103208916389,23.4857675636098,14.8614314751718,17.2137053365119,16.3785800231367,14.2686691077747,17.1083055485042,37.2983535029636,22.357265390675,20.9785466912224,34.1269971597391,16.0567561135273,20.5933382242026,9.39645401951062,28.5491294520009,35.6389849228984
"AAK1",8.33718866082888,7.81452889216736,2.94570192221696,2.17418717394291,6.02752260374201,9.20848782565144,7.91715243922395,3.6261575712031,9.69944553764616,7.00560566708808,7.6428435059654,5.14314638820925,5.69747951643838,3.56250798381,7.57020792557993,9.1213650135694,5.6139229335617,2.57011175290778,11.7734550344141,12.9092770338751
"AAMDC",11.140425676859,7.81603708188908,7.77808318022404,13.3714152665413,15.9915632371813,7.86370410469982,14.8049229324909,36.0827815062462,6.99599961499027,10.5742358010658,3.18182737762354,2.31893493161293,6.33836383258967,13.7824490435326,4.84582404252408,12.2975915893669,9.55071038679916,2.77805032350438,4.23902633407456,9.13592543337887
