"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER","B_cells_quantiseq","Macrophages_M1_quantiseq","Macrophages_M2_quantiseq","Monocytes_quantiseq","Neutrophils_quantiseq","NK_cells_quantiseq","T_cells_CD4_quantiseq","T_cells_CD8_quantiseq","Tregs_quantiseq","Dendritic_cells_quantiseq","Other_quantiseq","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"NM001",5.57349459888453,1.27146532736178,15.1824003052035,123.413095850119,2.92406483537694,19.4316252345551,20.2439347677845,20.0897729851742,53.0202250075735,167.186197358379,659.353034614615,2358.2324777389,3017.58551235352,0.49936229680938,9.47994523706575e-05,0.0123318820595847,0.221053229284824,1.11939310618697e-07,0.246421575947107,0.0294977704579409,1.02294034275508e-09,0.490600629835921,2.52583539626198,0.513417393563788,-0.947615790990441,-0.217529218421505,1.87410778041382,6,0.136227871435249,0.0868801450643668,0.249338048453474,0.0955893809850223,0.0794866536568555,0.518919906924439,0.00585757435311064,0.110080910147977,0.0553937699972705,0,0.10921858557972,0.0144384472826508,0,0.00776490105945518,0.0419444207134135,0,0.655301390866402,0.0160953225947029,0.00770139800713605,0.0117289459949691,0.0773719633422494,0,0.243817957823491,0,0,0,0,0.105493146013799,0.014077175186617,0.0244751201835698,0.203711309518811,0.00693303536724124,0.103513187487591,0.00591559062461075,0.0309428268000029,0.0903765451057908,0,0,0.0578464759494184,0.01,0.277261228579749,0.972602348969496
"NM002",8.14804049578543,3.24829806254282,38.2304917905323,1049.2862537235,3.86307400540083,37.3094578246138,17.4674314860287,25.6862591264709,26.9752550628951,438.7375304235,1406.31786142683,2974.72859753448,4381.04645896131,0.317149519060182,0.00849158649465857,0.0640210866296125,0.0718709103373869,0.0151585151276217,0.114960039553013,0.0631082585455549,0.0104539197949261,0.651935683517226,2.75297258937253,0.710987003602834,-1.25303923579543,-0.269304758761269,1.94161559841866,6,0.0726840857589995,0.103856151684022,0.246045437838245,0.118352089474221,0.0824689865783374,0.57164011988219,0.0025381324257133,0.450361650860198,0.0306102298258461,0,0.00779342570589838,0.0295174445892612,0,0.0242217587734518,0.0396154853446476,0,0.415341872474983,0.049721943290041,0,0.0574232195357163,0.127275258024716,0,0.106073508462897,0,0,0.0716981892387395,0,0.144290778471075,0.0117306532532405,0.0359645567472996,0.0919496420434252,0.0180172968504809,0.149219765264325,0.0130468956779825,0,0.0428603002363716,0,0.00617595032989132,0.0745520425737985,0.02,0.212336886200987,0.999537306496472
"NM003",4.67388068634632,2.02220183295088,10.2428724236359,164.011322038802,1.15301289316845,12.9248214152904,23.1929120743453,71.7787393939358,27.6702315806246,127.068562804854,661.87851185057,2807.94743100789,3469.82594285846,0.440790294816625,0.000130933622991582,0.00555030128045865,0.124634327833776,5.95675211129563e-08,0.0807749025499399,0.0488083303321143,5.62115308877209e-05,0.740044933282311,2.82268737523733,0.600785599053465,-1.16018876423811,-0.376034523728277,1.88724968632441,6,0.0651573824540664,0.107153189842563,0.215344643341395,0.160367060220748,0.0319373493189345,0.534991754879075,0,0.647852702695353,0,0,0.136732921848873,0,0,0.00302783591757358,0.0444888241406336,0,0.167897715397567,0.00883521875615206,0,0.0080325270921943,0.0592874946928089,0,0.0828396307411888,0.00201187812692016,0,0,0,0.065988328040848,0,0.0303826465388841,0.0854301349339362,0,0.0687881912515689,0,0.121821007230989,0,0.0749601280037315,0,0.391622814590778,0,0.395575959292835,0.939238115705545
"NM004",10.4440775237631,4.0579658493904,39.468719467168,733.746087662696,1.42758766222179,13.3511884190313,25.6553608509879,22.7052805456261,46.7103841702954,142.470481494417,902.134019453234,2819.96795062379,3722.10197007703,0.407256121254526,0.0010088945719709,0.00887874965788787,0.115525944363347,3.67979876541013e-07,0.1836952448474,0.0536408564727269,0.0136040961324192,0.623645845974371,2.93928673733716,0.654987401700141,-1.16333284499886,-0.27352311959584,2.1574181744426,7,0.102355413590615,0.0977955402721365,0.237385049217233,0.111792380518613,0.0657147466580116,0.473040775923972,0.000235727472733183,0.0910535006141183,0.0976861166474783,0,0.0315433012330977,0.0087463633630074,0,0.0269436999483221,0.044579811839813,0.00111510233501811,0.698096376546412,0.0230910236056698,0,0.036954716522223,0.126445348066037,0,0.253668712465436,0.0218407429356636,0.00284785131919564,0,0,0.0518491187008064,0.0202619245929928,0.030328665026866,0.018554233378106,0.0180389559978422,0.184752282069445,0.0185842761445004,0.0506471732972971,0.0537016530655942,0,0.0147537929723518,0.0736795298399728,0.02,0.156714035223,1.01909216815822
"NM005",11.0144237561656,6.73883255908667,13.1788625456363,496.437978522342,1.11150487020447,11.8372964603618,20.9353782442382,17.0021735649901,47.3344983063627,311.226025802575,1135.45878276619,2180.2182240355,3315.67700680169,0.460986197128748,0.00249848230413649,0.0316458725520844,0.0625236232986101,0.0406304556149641,0.182837526553991,0.0205503610478388,0.00118227559004079,0.658131403038334,2.52064712708314,0.553632065412436,-0.960883434113188,-0.114037315012626,1.99935844336976,7,0.0699512651978725,0.122027576042314,0.237868019628686,0.111027919312824,0.0693931164109739,0.460497847185842,0,0.255945527585722,0.0187709414511311,0,0.00865146604649949,0.00859203179543105,0,0.0518503606109392,0.0609309546682247,0,0.595258717842052,0.0335885362592187,0,0.00366462227769054,0.190149960581382,0,0.163495004575639,0,0.0488202253867738,0.00292205022481627,0,0,0.0741081425833405,0.00652970349582555,0.118910909259289,0.000640929483436497,0.15812769522191,0.0158384593597033,0.0278804909644027,0,0.0991659768238282,0,0.0561572935027443,0.03,0.111961959098862,1.05198469986804
"TB001",12.5348757230648,2.39822304547932,8.08982761255665,4454.84456131348,0.756705103109717,59.1488792414059,19.152179761729,21.2705329424652,35.0205162713798,608.457350712048,1531.25621240453,2965.0287376479,4496.28495005243,0.301062499247531,0.0745434812301143,0.198497238600372,0.175903752899773,5.73826630461168e-09,0.191016348898417,0.0869050230184232,3.1150170522077e-07,0.27313383811293,2.78358056057113,0.726743319305726,-1.39182936986125,-0.450310172292127,1.66818433772348,6,0.109614112112393,0.148288157764779,0.190706851476835,0.11336078598514,0.104505760325235,0.529826446877629,0.052909942141667,0.177805331807176,0.099763928535855,0,0.0430685355460795,0.00691921356187082,0.0329609999221992,0.027404655738366,0.0511976025491531,0,0.507969790197634,0.078192432113285,0.0026524512747898,0.101551057345921,0.0785670859815574,0,0.138376426355895,0.0046843088481217,0.0244549118465065,0.043351862245887,0,0,0.0275291976104621,0,0.233358255414878,0.0550907215933748,0.117752777879673,0.0115948820686257,0,0.0537041941011731,0,0,0.0291394353198508,0.01,0.27182332969467,0.974027098132174
"TB002",13.0435644915214,4.53241161103997,32.9568683571922,2657.00612113342,3.25362210146979,17.3942719469053,13.8656606425008,21.953757588614,64.496934931748,4578.75797978212,1736.52278441964,2122.86682112916,3859.3896055488,0.388769358087887,6.26524675285486e-05,0.999905022195186,8.4212114975874e-08,8.4613869591517e-08,2.66689402651671e-05,1.76499934385288e-07,5.28311068361831e-06,2.79604174958576e-08,2.33625606663811,0.615995219233613,-0.854768029139575,0.0768919142878585,2.17437517102001,7,0.0720688115232341,0.109012344707787,0.255421151099615,0.10270632594273,0.0732643159826789,0.456770643364071,0.0142427066038877,0.0107675414944765,0.0728906898282247,0,0.0604551117096033,0.0277039409619994,0.00546531953945402,0.0308725400917356,0.0255974661442187,0.0256603589003856,0.726344324726015,0.0899939223742372,0,0.0971672924293716,0.204305832097722,0,0.109504256928211,0,0.0463060522002567,0.0260623430683802,0,0,0.144208539700831,0.0260736195854949,0,0.0210855321206904,0.105113596978414,0.00834631406789487,0,0,0.0652793090242838,0,0.0565533894242122,0.01,0.24031457635663,1.00202422799878
"TB003",4.34674093422273,1.42855008613185,3.95892531740789,154.761314583164,1.53592158570857,8.76325059417531,7.16257559351877,11.0359314958965,24.4714711970483,921.993660554137,1194.66285103932,1522.50031334791,2717.16316438723,0.537071100949546,0.0174174671792131,0.210827343768046,0.0567267344559883,0.0124121592973375,0.0669785791135701,0.00773209263262312,7.90814845018529e-08,0.627905544471738,2.10069283649558,0.495801633780356,-0.678239028954786,0.0422503036108408,1.96050574493199,7,0.0767987068431489,0.104783115283536,0.211005040880328,0.104573744246148,0.0170159331524893,0.474744006883369,0.0317902853151456,0.0342365523527815,0.00718661060446335,0.101143931017605,0.0334354312748999,0.00963396577482206,0,0.0146491731191384,0.0178118326583276,0,0.750112217882817,0.154377152540287,0,0.0463660898228172,0.0969060490720449,0,0.160582550003027,0,0.0534127192733883,0.00369836214070303,0,0,0.0621095162003898,0.113182218147314,0,0.0104661741352083,0.0634118701068107,0,0.00557268507245242,0,0.141180133315748,0.00549499081988325,0.0832394893499262,0.01,0.26602571794139,0.980546266075098
"TB004",20.709271529679,2.80664605908592,15.2479260118942,9597.31458840762,1.07413855567629,52.0315526562508,21.8322536800433,14.3366600992311,37.8606581827074,1098.81219498803,1666.13111678677,3212.01477815974,4878.14589494652,0.247165496709815,0.0588022298742735,0.428056264058257,0.12515964896846,2.53492748931226e-07,0.206502134412579,0.0652632358735939,0.0024906214007356,0.113725611919353,3.12803401472245,0.870535524977044,-1.33813663498016,-0.52108547709601,2.13934742762332,7,0.0998619588316732,0.156096957312342,0.197708492453915,0.131688365654196,0.0432913991983451,0.553030207647743,0.0384042740337177,0.425347469490155,0.0081496673627305,0,0,0.0025145751660521,0,0.0399629314354283,0.120483766762872,0,0.365137315749044,0.0112654051569211,0.0442210155246505,0.113421380931319,0.0655967867951345,0,0.222545586747776,0.00780064198470597,0.0377715804025271,0.00779886866497268,0,0,0.0379688767423009,0.00638154405280632,0.191462098104269,0.0964202694734437,0.0699488905279545,0.00890522552901272,0,0,0.0660552760273479,0,0.0124365533348585,0.01,0.246023222481251,0.987731820642497
"TB005",11.3706525052945,1.71080316363181,6.20094161572298,5361.36684971053,0.643292478647799,50.717435948016,14.9623154187909,20.7217882248502,70.6532657404904,974.895227798469,1895.07788323296,2897.83944780458,4792.91733103754,0.259268241032096,0.0180384482029808,0.342635758977483,9.49520410760616e-05,5.95731671881434e-07,0.511292272649336,0.12623368777368,0.00170420985320756,7.47705641980014e-08,2.84931578700227,0.72218775843966,-1.45256734705293,-0.451234145796017,1.66770205259298,6,0.0859155004704167,0.118430709230638,0.184612671275247,0.11390371080294,0.101279566024706,0.59835773684488,0.006454648667146,0.376973938697423,0.0405761588105921,0,0.016879974964864,0.0060910747960119,0,0.0127407457400949,0.0647742509815687,0,0.475509207342299,0.0456278296949393,0,0.146936234084815,0.0669414644857874,0,0.105632452717079,0,0.0315602508270449,0.0404026587555575,0,0,0.0368610490261889,0,0.24215492983754,0.0460934950987342,0.0986205667059638,0.0114714419368729,0,0,0.0759570599261278,0.00493456486525337,0.0468060020380958,0.01,0.283678188681281,0.971782948466244
