"ID","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate"
"H1",396.503384057942,840.595711078333,1237.09909513628,0.70627131180491
"L1",467.632733323072,445.973401618825,913.606134941897,0.73907917080152
"H2",866.382297568225,725.459668247136,1591.84196581536,0.668466639877069
"L2",412.481067292746,805.310351123357,1217.7914184161,0.708274879366495
"H3",808.350798541539,724.410681533933,1532.76148007547,0.674891398868329
"L3",235.552039785801,324.679592924215,560.231632710016,0.773010888669192
"H4",686.94129695368,474.680122833286,1161.62141978697,0.714071260757002
"L4",621.825629694649,240.581336776378,862.406966471027,0.744120793607894
"H5",678.967236144048,970.817046384552,1649.7842825286,0.662116817900813
"L5",360.849966966588,615.046550785866,975.896517752454,0.732889126768239
