"","TP0003_CD8_LTBI","TP0004_CD8_LTBI","TP0005_CD8_LTBI","TP0008_CD8_LTBI","TP0015_CD8_LTBI","TU0084_CD8_HC","XT0101_CD8_HC","TU0079_CD8_HC","TU0119_CD8_HC","TP0001_CD8_LTBI","TP0007_CD8_LTBI","TU0146_CD8_HC","XT0103_CD8_HC","TP0013_CD8_LTBI","TU0005_CD8_LTBI","TU0010_CD8_LTBI","TU0013_CD8_LTBI","TU0021_CD8_LTBI","TU0022_CD8_LTBI","TU0024_CD8_LTBI","TU0033_CD8_LTBI","TU0035_CD8_LTBI","TU0046_CD8_LTBI","TU0050_CD8_HC","TU0052_CD8_HC","TU0053_CD8_HC","TU0056_CD8_HC","TU0057_CD8_HC","TU0059_CD8_HC","TU0063_CD8_LTBI","TU0070_CD8_LTBI","TU0071_CD8_HC","TU0075_CD8_LTBI","TU0085_CD8_HC","TU0094_CD8_HC","TU0110_CD8_HC","XT0082_CD8_HC","XT0106_CD8_HC","XT0123_CD8_HC","XT0134_CD8_LTBI"
"A1BG",8.15385875447771,8.7932804694403,7.66888097487996,12.2764952518097,10.8642579633048,6.81821702431581,3.01900718087944,6.63640693456736,7.22659357268031,5.20792222364141,9.7606786683867,9.185076735481,5.09569463789369,2.86132971834273,4.92839961393794,8.34427293590688,5.90172153659639,5.08484456551483,6.81412582421514,3.02892784602819,5.60369832291647,7.81168253353575,6.6532129580786,8.24890836197622,5.45011793736457,3.60533489041452,3.8547902876469,2.9085055946294,6.26719511481167,7.30259272881135,8.22683496935783,6.87302372271343,12.0542004638531,3.89659301537325,8.5748072525799,4.26847966205515,2.7536012852172,3.9361397474616,4.75077411407358,4.74787872350697
"A1BG-AS1",1.46817604851692,0.705939417969151,0.981983774687416,0.843832834209709,1.70947902022105,0.767795757208273,0.852188401521899,1.33229513129229,1.60640728863506,0.463688112685409,0.905723850095587,1.19994973480762,0.33250316931037,0,0.738234010733374,1.91459273448649,1.37132409733899,0.504605173725679,0.862898862258254,1.17779062664758,1.35724810657223,0.624628541557488,0.854435337152858,1.34717785497965,1.08170767982201,1.23186024953642,2.26378751254865,0.324077618681711,1.25367070368079,0.648168190241624,1.48899128915834,1.00615776310331,2.54065224783442,3.76235560848659,0.875820166956257,0.898218114077581,0.65117127985448,0.0868024558288676,0.254266783570135,0.882182520586886
"A1CF",0.0298344287136972,0,0.0439002086280658,0,0,0,0.0238110149968733,0.0541464549299761,0.179538646489279,0.0345491195305531,0,0.1856925532283,0,0,0,0,0,0,0.0296741861138077,0,0,0,0,0.0167295672339796,0,0,0,0,0,0,0.0151287049385477,0,0,0,0,0,0,0,0,0
"A2M",41.6780028328988,8.08215475939324,15.9884219386052,4.44694917910146,20.9636141631412,11.7763651313315,23.0414215376409,29.6277784282917,27.3464654993717,15.1053936782958,6.53037598711829,19.4211271489039,18.2637311370277,13.0569910408808,10.3938877870131,16.4147339426044,20.4939018535114,14.6853521939885,11.3033034835837,13.4328151787336,20.1649244784918,21.5473121760844,16.923774448555,17.9843434659257,11.9399277169718,16.6997928389343,11.0133466831977,5.35302506781128,27.6411994917784,5.83463069330009,15.118850050988,7.54875549343391,8.82613959435094,11.278267618596,12.9322251018825,7.54671473414686,10.3900224364205,13.0405624464026,4.86656107549487,18.1357097168119
"A2ML1",0.383602764754931,0.150289951051903,0.250869618001103,0.0269469855602201,0.223325015794178,0.0490376300705734,0.136069062611818,0.812233354541424,0.476348445302043,0.123395262371304,0.289234153029025,0.235810673291684,0.0707877811725225,0.306905743806326,0.188598313986457,0.317931471171999,0.218959544777515,0.345301677030102,0.233164806166658,0.0940290117975768,0.0722373430034693,0.170973500987464,0.198440481737559,0.09560182679016,0.184230873205067,0.231401563763345,0.240972883644609,0.258727634104965,0.300260712013501,0.206986243660369,0.216134077000631,0.14829542397025,0.324533090727875,0.16019625079613,0.177981173358563,0.234685038120039,0.178238786818168,0.110878099499543,0.270658795104642,0.153663522053978
"A2MP1",16.0964816340315,1.80844319396482,3.48313978365395,0.149655615059674,5.65017041994946,6.53617304054736,9.63501520163654,6.22934450533078,9.15749605184193,3.01532403003584,1.96328150686831,5.5658976362498,3.145075772994,2.32426914448739,0.523709722851652,6.11203042799434,6.89087504366428,1.53416298803715,1.29492860710375,3.65546591243036,3.87812080409688,7.27977929128139,1.23983993741733,3.3184022933512,1.15105946279144,7.3252756475592,0,2.15534552807674,5.28060505599098,1.40499405100946,2.76079340155427,2.74529691335433,3.0039352139258,5.18981609052965,1.69449424475073,1.01373341010497,0.494942842663272,3.84865176759967,1.80379100417781,3.27137398255632
"A4GALT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38715114906552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GNT",0,0,0,0,0,0,0,0.292827224192817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",76.1309824860901,71.4262829486587,63.5095547437268,59.8805486610302,80.9657500007127,46.8120661481031,52.9860604765451,56.8455286909848,53.2095951404237,103.086887002606,72.317855822076,59.1790627292111,93.8335512169812,121.448310885656,67.9704545675757,105.767875700182,60.4782601600116,59.734095698949,98.6026667554088,93.2329622828329,99.7342445418097,111.514469251067,80.3264213328641,104.288515181964,66.0725525969086,66.7986906313937,95.2718680675016,109.528668247446,72.6701094702787,110.056475823648,74.8545112910012,88.2934954777431,82.0629336750441,74.5384062810834,94.137551840922,74.9071809219796,79.2777372544877,94.3451636933012,67.4725124835901,67.4465676843197
"AACS",10.5105073435867,8.66743745735529,10.1650252454897,6.48422887182076,8.93174292115009,5.89994038477305,10.1473686004117,9.92233786591813,11.2218612918066,23.3613647231903,13.8045924916179,17.6442313076742,13.6550347468129,31.0160804725484,1.12517956555427,20.0864410566538,18.2400278838564,22.6608086258484,20.52872847138,20.1328804717568,7.66166691048524,22.0439760915873,18.9916977891311,20.2003040021919,13.6932452802274,15.1859863446481,21.0854865509898,15.9502423684805,14.082069235833,15.4131587039469,9.41304502972961,26.2470520368096,12.2623967167393,38.9726496085609,11.2757039383789,13.7939073853222,16.3050759008796,7.93799918062918,17.3855102791113,12.4780980204984
