"ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"TP0003_CD8_LTBI",0,0,0,0.53365511802239,0,0.0889069778777172,0.0576864070224282,0.0197458616229813,0,0.226254382116871,0,0.0578440560706746,0,0,0,0.00287015553943003,0,0,0.00389024103530714,0,0.00522920536534654,0.00391759532685387,0,0.633871597828929,0.785678491526391
"TP0004_CD8_LTBI",0,0,0,0.676147924138264,0,0,0.0375363048737046,0.0120908977380762,0,0.197914147929412,0,0.0504120298082591,0,0.00206479395424259,0,0.000162170785695455,0.00310442408684234,0,0.0189193828758069,0,0.000897840763469282,0.000750083046227591,0,0.651738318590245,0.772506288578281
"TP0005_CD8_LTBI",0,0,0,0.612935920988346,0,0,0.0261341532350361,0.0133874621028117,0,0.280354554246658,0,0.0509867897681623,0,0.00845908498200922,0,0,0,0,0.00388858205999862,0,0.00313285778522686,0.000720594831751816,0,0.697425031633869,0.727112179822487
"TP0008_CD8_LTBI",0.0143917177623781,0,0,0.713919114494069,0,0,0.0999226670583101,0.0187607393413646,0,0.0943566863463112,0,0.0410820508078811,0,0.00271419553364703,0,0.00562869171390403,0,0,0.00125782263034328,0,0.00518347421074142,0.00278284010104969,0,0.617309131070035,0.798511655357618
"TP0015_CD8_LTBI",0,0,0,0.512612026346685,0,0.0298298558892872,0.0522818811770803,0.0238084476377145,0,0.278272473916538,0,0.0696234879410732,0,0.0107850189844241,0,0,0,0.00186630584594626,0.0165229520924261,0,0.0032709504100969,0.00112659975872783,0,0.688395374965481,0.731376747069341
"TU0084_CD8_HC",0,0,0,0.627312096853062,0,0.0788921157742049,0.0419278126202642,0,0,0.186979481019196,0,0.0397326895086259,0,0.00549727506590394,0,0,0,0,0.0159521635885679,0,0.00324919314474296,0.000457172425431869,0,0.68486175758818,0.734602378467867
"XT0101_CD8_HC",0.0192900566905045,0,0.000935566963640338,0.49971891533409,0,0,0.16123498092434,0.0197765367288206,0,0.166086293209932,0,0.071339161334586,0,0,0,0.0121869194024595,0.00747067741853848,0,0,0.0321027558966573,0.00533923070137654,0.00451890539505426,0,0.663033642582739,0.748880033755289
"TU0079_CD8_HC",0,0,0.00148305715569348,0.397775289184652,0,0.140224871401557,0,0.0122816096619877,0,0.36827695772406,0,0.0549349855969136,0,0.00539898985252985,0,0,0.00157450402050481,0.000963759970310679,0.0126400125502078,0,0.00345656848401239,0.000989394397570346,0,0.754735039732134,0.6577426111559
"TU0119_CD8_HC",0,0,0.00215060185797258,0.574777165104134,0,0.0445460529707458,0.0124558260798414,0,0,0.316882213746664,0,0.0465121111133745,0,0.000724263422281931,0,0,8.24715042568146e-06,0,0.000266015523695045,0,0,0.00167750303086513,0,0.769111599497169,0.642730857361019
"TP0001_CD8_LTBI",0,0,0,0.603342576343841,0,0,0.046602550557931,0.0204439709720536,0,0,0.183232029253127,0.101750185725314,0,0.0010882407850462,0,0.00527385435947604,0.00370762978192918,0.00288763180204614,0.031671330419236,0,0,0,0,0.657059477603642,0.76696528033691
"TP0007_CD8_LTBI",0.00803441175509972,0,0,0.722312383435238,0,0.0241865020549891,0.05087459678869,0.0290112792344046,0,0.0944591104697712,0,0.0349381085943045,0,0.00838897311615706,0,0.00609888326898743,0,0,0.0188899220767366,0,0,0.00280582920562194,0,0.6487009080426,0.768918509667362
"TU0146_CD8_HC",0,0,0,0.580745144311154,0,0.0420673063447527,0,0.0129069654386789,0,0.239025802197557,0,0.0889088409253815,0,0.00883585863455627,0,0.00244918018295273,0,0.00509693853522778,0.0150175115749948,0,0.00437232366042778,0.000574128194317138,0,0.648910724555975,0.77744070088805
"XT0103_CD8_HC",0.000415513699395361,0,0,0.733748353029467,0,0,0.0288535381467869,0.0188400587462505,0,0.136135403857319,0,0.0653474824688975,0,0,0,0,0.00516670993164518,0,0.00824866443386213,0,0.000702583994419167,0.00254169169195754,0,0.639531377664085,0.786851839845816
"TP0013_CD8_LTBI",0,0,0,0.741166014078483,0,0,0.0330468300272243,0.00928733831136966,0,0.106726420970196,0,0.0786021338295144,0,0.00164127601965208,0,0.00256667140401445,0,0,0.0216725892199908,0,0.00116114714771716,0.00412957899183861,0,0.739726081725714,0.67551178513931
"TU0005_CD8_LTBI",0.0135057551095168,0,0,0.750121215060998,0,0,0.127922750266569,0.0164735541262892,0,0.0478087419697922,0,0.0290434552552033,0,0,0,0.00570063907385291,0.00349854109687478,0,0,0,0.00592534804090422,0,0,0.665036030957317,0.750601823998783
"TU0010_CD8_LTBI",0.00210201969128396,0,0,0.857362330601082,0,0,0.0234217885574809,0.0090634029527821,0.00186259412070855,0,0,0.0642047524510452,0,0.01008803406455,0,0,0.000272896274096937,0,0.0315643444349499,0,5.78368520209093e-05,0,0,0.682977566854883,0.738323992714233
"TU0013_CD8_LTBI",0,0,0,0.681187318234691,0,0,0.057280289064493,0.00728561577073644,0,0.202004773296967,0,0.0146680401128756,0,0.0125254881759797,0,0.00417994439449557,0,0,0.0208685309497619,0,0,0,0,0.717289965610608,0.69916836851324
"TU0021_CD8_LTBI",0.00846196141676297,0,0,0.551444583937849,0,0,0.0806700246283176,0.0189047496015972,0,0.224281435607435,0,0.0697621107889849,0,0.0115588889367252,0,0.00219992482423681,0,0.00487844201328961,0.0249643862627915,0,0.00257170965612599,0.000301782325884224,0,0.573342008672012,0.839172118542471
"TU0022_CD8_LTBI",0.0104365217521571,0,0,0.672791653830267,0,0.0981165735637329,0.0468869513985479,0.0125670684559444,0,0.10936418425488,0,0.0219533725515143,0,0.00522166538887844,0,0.00358017481269737,0,0,0.0169801130339399,0,0,0.00210172095744022,0,0.649375064669751,0.767528174775356
"TU0024_CD8_LTBI",0,0,0,0.653269669468579,0,0,0.0387826686669942,0.0116084219617229,0,0.212898989274003,0,0.0596215297920259,0,0.00892446026520574,0,0,0,0,0.014894260571469,0,0,0,0,0.651310025386994,0.773624336406683
"TU0033_CD8_LTBI",0.00164060442939292,0,0,0.739579248977726,0,0,0.00553852435540466,0.0359333944661884,0,0.125635393184479,0,0.0723133460798908,0,0.00293693869932664,0,0,0,0,0.0128851908329258,0,0.00263850422472965,0.000898854749936893,0,0.712084242819771,0.709190062933308
"TU0035_CD8_LTBI",0,0,0,0.854385171521493,0,0,0,0.0159081207589463,0.00510456735314181,0.0432870632428284,0,0.073533872167072,0,0.00349249337127018,0,0,0,0,0.00272888854590288,0,0.000316625295447262,0.00124319774389806,0,0.678286432807596,0.75056839569495
"TU0046_CD8_LTBI",0,0,0,0.737853011198578,0,0,0.0308956441910657,0.0147044027947152,0,0.130447136081059,0,0.0555921986085181,0,0.0119014532441536,0,0,0.00129374295134534,0,0.0173124109305657,0,0,0,0,0.686751192942506,0.734912530381406
"TU0050_CD8_HC",0,0,0,0.552112321726317,0,0.152138861677804,0.00499747182652921,0.0149070274379991,0,0.195243616278114,0,0.0437397134388132,0,0.0146838218629431,0,0,0,0,0.0198653520966687,0,0.00119139979234191,0.00112041386247,0,0.741215195495183,0.671558277862941
"TU0052_CD8_HC",0.00291444702570258,0,0,0.714233327680749,0,0.00386645675251183,0.0778231498241542,0.0208150773930516,0,0.146619548592774,0,0.00648292047636155,0,0,0,0.00522695898293039,0.0013093955932637,0,0.0185263372397384,0,0.000863114653592108,0.00131926578517005,0,0.666681502995806,0.751435310222712
