"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SGCG",-6.50729860420305,3.85364930210153,-14.0314889192866,1.82411980121291e-08,0.000399227655823315,9.39949387599055
"SERTM1",-6.8499220869486,4.45894604376276,-13.5898014113547,2.56408256790825e-08,0.000399227655823315,9.13329557586049
"CHRM2",-3.72007551062157,1.86003775531078,-12.1698956737741,8.2250467507864e-08,0.000853759852731629,8.18996858662404
"ANGPT4",-5.46852070472327,3.9682453526501,-11.6167229079686,1.33797373898092e-07,0.00104161255579664,7.78240742108401
"LINC00163",-4.31677276790068,2.67537888409457,-11.3419878158576,1.71645478728309e-07,0.00106900804151991,7.57080958434852
"KIF4A",4.3520967160665,6.26078316184014,10.7387373171791,3.02147249405023e-07,0.00126682500438357,7.08344430584991
"FHL1",-4.85987667053226,10.2804022888545,-10.6334920411746,3.3438596191753e-07,0.00126682500438357,6.99507425065103
"TTPA",-5.00021118618423,2.90010559309212,-10.5190882103433,3.7369995150916e-07,0.00126682500438357,6.89784671452178
"LINC00968",-6.03385766490443,4.37839981686374,-10.5154036682657,3.7504644510245e-07,0.00126682500438357,6.89469494802307
"CAV3",-3.99315685693242,2.51357092861044,-10.3789862662914,4.28784808191474e-07,0.00126682500438357,6.77709650093049
"RTKN2",-5.05283770304189,9.62541239408536,-10.2887712015614,4.68863045120946e-07,0.00126682500438357,6.6983469775453
"MKI67",4.15403255413078,8.20714438663744,10.1919112846937,5.16445168865205e-07,0.00126682500438357,6.61291643309831
"GPM6A",-5.77960702017647,6.71706556685602,-10.1028685018074,5.64812706487841e-07,0.00126682500438357,6.53356630991946
"TOP2A",4.66897635290254,9.15906797345755,10.0061866801653,6.22929520987939e-07,0.00126682500438357,6.44651439342093
"CEP55",3.72359584532212,6.60194749828857,9.99183430173917,6.32094021168108e-07,0.00126682500438357,6.43351150572354
"GPA33",-4.75315546611715,6.10624363143447,-9.9630652567782,6.50905589920911e-07,0.00126682500438357,6.40738477772948
"BUB1",3.05531536557923,6.93231136348181,9.84408147791457,7.35381365465601e-07,0.00134704563062346,6.29843418022203
"BCHE",-4.04512452531791,6.16988492879787,-9.78521843725542,7.81487267902138e-07,0.0013519729734707,6.24399693061464
"SCGB3A2",-4.89861023220391,10.0131488511824,-9.58510565648547,9.63100690338825e-07,0.00136112363528499,6.05622372123373
"DLGAP5",3.77678364231363,6.16221926712739,9.58257172592877,9.6567396661806e-07,0.00136112363528499,6.05381891686369
"ARC",-5.207855430516,6.1394716435862,-9.52336034477922,1.02796740550063e-06,0.00136112363528499,5.99742955214726
"PCOLCE2",-4.22617911187636,7.39177969337744,-9.45280176062926,1.1079172199614e-06,0.00136112363528499,5.92974178155716
"CAV1",-3.89111463177214,12.4301135048515,-9.44972095049217,1.11155762901043e-06,0.00136112363528499,5.92677405913791
"TPX2",4.25093113676352,7.82286263872887,9.43554254078101,1.12847859300428e-06,0.00136112363528499,5.91310282266471
"TMEM74B",-2.46861414657239,6.22956171891711,-9.36530094075521,1.21650787167719e-06,0.00136112363528499,5.8450509041848
"ODAM",-5.05424216183272,3.04411358106059,-9.34672908033943,1.24100194336236e-06,0.00136112363528499,5.82696777098724
"FABP4",-6.52586700234596,8.23360516002852,-9.32239430321578,1.27390511988269e-06,0.00136112363528499,5.80321598130624
"LINC00607",-3.81561724216279,4.47815842936461,-9.30685863097537,1.29540236617955e-06,0.00136112363528499,5.78801836245496
"C10orf67",-4.77159786903153,4.40116205392593,-9.29930516973347,1.30599544958974e-06,0.00136112363528499,5.78061963259313
"GSDMB",3.1709225806008,7.03389863649572,9.27050859068694,1.34724552941144e-06,0.00136112363528499,5.75235501491545
