"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IL22RA2",4.15973485976537,2.07986742988268,9.45360476588537,7.52638433505151e-07,0.0259464573566566,5.37168165276798
"GPA33",-3.38426368874935,6.79068952011838,-8.02658598873744,4.069701853632e-06,0.0468507144125258,4.13789151383355
"FFAR4",-3.46824065059074,6.97180296079613,-7.99990770666051,4.20875747075144e-06,0.0468507144125258,4.11227143929583
"EXTL3-AS1",3.2402563195396,2.0201281597698,7.79830766750345,5.43938239159876e-06,0.0468507144125258,3.91539243794202
"SPDYE2",2.53533246697159,3.73928657497397,7.60507677862938,6.98609038701208e-06,0.0468507144125258,3.72115264066873
"KIR3DL1",-3.76694852322207,2.28347426161104,-7.42726178939854,8.82964105173908e-06,0.0468507144125258,3.53750247252717
"MATR3",2.39665725993413,4.80101933717774,7.26035081818503,1.10389082900051e-05,0.0468507144125258,3.36073723164772
"SPP1",5.39493509900522,9.21936125681765,7.25478362374788,1.11220924749435e-05,0.0468507144125258,3.3547672659317
"LINC00163",-3.83376526804491,2.91688263402245,-7.12626206452925,1.32409284132691e-05,0.0468507144125258,3.2156019850648
"STRA6",4.43401963322269,3.75985892014457,7.04938765807962,1.47111307869568e-05,0.0468507144125258,3.13111828230542
"MUCL3",-2.45776901691589,6.46166329591294,-7.03771576164183,1.49491749880427e-05,0.0468507144125258,3.11820904834404
"CDK5RAP3",3.01812534060613,6.39347276109031,6.80254028923797,2.07342180170098e-05,0.0533618546858892,2.85344183967382
"AQP5-AS1",-3.22637139212176,2.67757131503835,-6.78077878661605,2.13791464278975e-05,0.0533618546858892,2.82848900747025
"KIR2DS4",-3.55359550032078,3.24118336913786,-6.7711788288848,2.16704172884623e-05,0.0533618546858892,2.81745659565663
"EOLA2-DT",2.44550513938971,4.44989442691573,6.71972460081539,2.33053468530064e-05,0.0535619018273696,2.75806707783435
"P2RX5",3.60512858901226,4.15883623721106,6.57740731962565,2.85503959160184e-05,0.0608978848438757,2.59152605912214
"MMP13",3.66339992130354,2.79317094506329,6.51450482152383,3.12570114691299e-05,0.0608978848438757,2.51684349852923
"FER1L4",3.72007108953387,5.84051998949987,6.50265532119591,3.17967722686594e-05,0.0608978848438757,2.50270076093918
"ISG20L2P2",2.06797000057692,1.03398500028846,6.41136655854511,3.63028591624758e-05,0.0625813734105768,2.39295337536205
"TNFSF11",3.08911290973824,2.97854145515758,6.41129931338653,3.63064184084103e-05,0.0625813734105768,2.39287201537259
"SCG5",2.83133738823393,4.35980305148208,6.27382460960977,4.44204888253369e-05,0.0727827962609718,2.22493815155243
"C12orf42",3.55788227549957,2.44332675672726,6.24365048960946,4.64472216087886e-05,0.0727827962609718,2.18764801476315
"ROR1-AS1",2.73034488662161,1.88216494345504,6.15557599695402,5.29451627774346e-05,0.0785300357862674,2.07791126351253
"STX16-NPEPL1",2.21699119712795,3.08532970238566,6.10697359384818,5.69383847056996e-05,0.0785300357862674,2.01678437869873
"PI15",4.70289346345879,5.52279019300292,6.09875280754545,5.76448449387919e-05,0.0785300357862674,2.00640492554576
"AASDHPPT-AS1",2.19545598469998,1.09772799234999,6.06209113258329,6.09105607971688e-05,0.0785300357862674,1.95997444667888
"TSSK3",2.29837061926594,1.54918530963297,6.04999390673267,6.20307684507841e-05,0.0785300357862674,1.94460288385329
"BRPF3-AS1",2.21294855295005,3.05745177690772,6.01452214638689,6.54432923861569e-05,0.0785300357862674,1.89938414077803
"PWWP3B",-3.33692781111616,2.50244890584654,-5.9955853488647,6.7346115546402e-05,0.0785300357862674,1.87515468392312
"RCCD1-AS1",2.26797000057693,1.73398500028846,5.98593317030596,6.83384891102866e-05,0.0785300357862674,1.86278090428712
"GPD1",-4.4856796434601,8.43743132796375,-5.93746786585226,7.35612359683257e-05,0.0793687063318684,1.80040567230526
"GSDMB",2.05958862707352,6.47823165973208,5.86331679018033,8.23869535219525e-05,0.0793687063318684,1.70418279233771
"TINCR",-2.77947304811672,6.46376722881177,-5.8376400565433,8.56990882120896e-05,0.0793687063318684,1.67064007633928
"RN7SL809P",1.92877123795495,0.964385618977472,5.81514504375485,8.87167727357443e-05,0.0793687063318684,1.64115938441975
"RPP21",2.27190873632295,2.45294686830571,5.81145319097275,8.92226877244617e-05,0.0793687063318684,1.63631262445917
"CEMIP",2.91178874791207,8.32859546158818,5.81079938612134,8.93126002153906e-05,0.0793687063318684,1.63545404482189
"LINC01705",2.32146606274992,1.16073303137496,5.80657682602545,8.98956106448808e-05,0.0793687063318684,1.62990716364742
"ACP5",-2.08885556480829,11.8094529643972,-5.78685529957326,9.2672434837739e-05,0.0793687063318684,1.60395919956591
"CCDC144CP",2.73523549536652,1.88461024782749,5.78223717450121,9.33357078384598e-05,0.0793687063318684,1.59787324635438
"PTPRN2-AS1",-1.74466207410496,7.21815924263117,-5.75710500509892,9.70344752147814e-05,0.0793687063318684,1.56468781626674
"PITRM1-AS1",2.26813693087269,2.91544658455805,5.75642523134476,9.7136649112756e-05,0.0793687063318684,1.56378868712748
"C2orf92",1.80628417818575,5.15930892730724,5.74516265909057,9.88461547294286e-05,0.0793687063318684,1.54888006910704
"DCST2",2.70898448162274,4.16531134492152,5.74417276461503,9.89979222680961e-05,0.0793687063318684,1.54756865622819
"CPNE7",3.20155940390987,4.8041239519324,5.69703188097089,0.000106518720094599,0.0834416813378503,1.48491827164596
"S100A4",-2.62245406205437,11.9040543906783,-5.66497214584074,0.000111977303728159,0.0834416813378503,1.44208900845561
"CAV3",-2.88429275368765,3.06800298023282,-5.65232154652553,0.000114211962549537,0.0834416813378503,1.42513939662526
"RN7SL268P",2.46342598527691,1.63171299263845,5.64827207530885,0.000114937206425885,0.0834416813378503,1.41970789791138
"CATIP-AS2",2.07974873838764,1.43987436919382,5.62589653953136,0.000119033355261624,0.0834416813378503,1.38964424350638
"TSPO",-1.87313689817159,11.6197119383434,-5.61685536069569,0.000120732002232642,0.0834416813378503,1.3774717430269
"NDUFV2",2.62944098498845,2.89609861161593,5.61532960922164,0.000121021177318922,0.0834416813378503,1.3754161540653
"SPMIP3",2.18496250072116,1.60947375050481,5.58573665913936,0.000126777172454918,0.0856963969257026,1.33546619401725
"MCEMP1",-3.49017834832945,9.86592327023513,-5.57103025495851,0.000129744639207741,0.086015705616301,1.3155558867827
"RUFY4",2.92989156522722,3.58788775143665,5.55404216948213,0.00013326412689438,0.0866820285010728,1.29250948100352
"DDX43",-2.96428670537629,4.09750647209831,-5.52615746638622,0.000139261558359705,0.0889056104239344,1.25457119463272
"PRELID1P3",1.84576373809918,0.922881869049588,5.49857699709463,0.000145474713527934,0.0891682170026762,1.21691325296461
"LINC03129",1.96275623824341,0.981378119121704,5.48415634030077,0.000148839255205733,0.0891682170026762,1.1971706444896
"MIR590",2.49701491273972,1.64850745636986,5.4813299536442,0.000149508269364268,0.0891682170026762,1.19329692434843
"GLDN",-2.91634279904998,7.4778183017587,-5.47918105070207,0.000150019045836144,0.0891682170026762,1.19035080046621
"PHB1P9",2.5355439283282,2.6491500832858,5.46444245363106,0.000153572327761127,0.0897330919870692,1.17012262104955
"CLIC3",-3.2578603326314,9.50959651365912,-5.37154240708705,0.000178115212667206,0.102339064024821,1.04174919411174
"SHISA8",4.04849713051357,2.94124106540102,5.32977957589149,0.000190466504801211,0.106434731973325,0.983550069525097
"FGF11",2.43454800340987,2.39865212082664,5.31841546067491,0.000193981494084519,0.106434731973325,0.967661025796324
"HLA-V",-3.23561674043108,5.62773554468755,-5.31318685212576,0.000195621646550064,0.106434731973325,0.960342977610572
"OSCAR",-2.07555560466775,9.27556070672256,-5.29765735278372,0.000200579836594314,0.106434731973325,0.938579671639694
"LINC02397",3.07244356318262,2.05321428173554,5.29734644969863,0.000200680442602139,0.106434731973325,0.938143539764085
"MX1-AS1",2.47391946925574,1.63695973462787,5.26766080181596,0.000210535848804045,0.109969891691979,0.896423656904526
"PTPN11P2",2.22585660338899,1.3129283016945,5.23730190540949,0.00022114389587769,0.112394383060074,0.85359986459967
"RPL13AP17",-4.63359225888522,4.66794056017107,-5.21446015352915,0.000229495811361516,0.112394383060074,0.821274667352531
"KLRF1",-2.34528714560093,5.89681711877248,-5.20618791038387,0.000232601885870214,0.112394383060074,0.809545747948976
"ZFHX2-AS1",2.25389213499865,2.92240205219931,5.19983121783614,0.000235018774784944,0.112394383060074,0.800524804329235
"ADAM20P1",2.46431516628315,1.63215758314157,5.19027541917598,0.000238701881842593,0.112394383060074,0.786950829316042
"MYOM2",-2.95917269679215,6.36202753874502,-5.18890346634117,0.000239235644857066,0.112394383060074,0.785000684662807
"AGMAT",2.70867082043648,4.25270602948417,5.17319233042376,0.000245438498637839,0.112394383060074,0.762645197626659
"C5orf34-AS1",2.13765006182664,1.78581753105755,5.16123702231224,0.000250271862575885,0.112394383060074,0.745605463497728
"AGRP",-2.97611453749625,5.1458881394928,-5.15998380948836,0.000250784289465663,0.112394383060074,0.743817854435967
"FCRL2",3.68149720621032,4.04798332561586,5.15218880359398,0.000253996491440365,0.112394383060074,0.732692837730871
"FSIP2",4.95851883096466,3.39625191562656,5.14686811915879,0.000256213910428175,0.112394383060074,0.725093177299451
"TEX53",1.81536311941017,0.907681559705083,5.13729563823433,0.000260254738406448,0.112394383060074,0.711408344456895
"TMC3-AS1",2.88851824647542,2.76125162338194,5.13658252137954,0.000260558438244509,0.112394383060074,0.710388242596172
"SEC31B",1.73058734672648,6.18956819031922,5.13161126313204,0.000262685970099974,0.112394383060074,0.703274517852581
"UGT2B4",-2.68993613143268,3.06196056586057,-5.11748330494642,0.000268832649496872,0.112394383060074,0.683034709568613
"RSKR",2.9260954319947,3.81849877903574,5.11053475109099,0.000271911112680876,0.112394383060074,0.673067628714363
"GGTLC1",-4.26703710530189,7.68592819908439,-5.10540151978079,0.000274209128059225,0.112394383060074,0.665699161800906
"AKR7L",3.41777420712863,2.50888710356431,5.10493512756129,0.000274418929893551,0.112394383060074,0.665029458530165
"AHSA2P",2.31195028728099,8.38336485208712,5.09895829952844,0.000277122543369098,0.112394383060074,0.656443903000469
"ANKRD10-IT1",2.3185735397613,5.69090622350631,5.08936633463181,0.000281520182525455,0.112561680519171,0.642652542397184
"SMG1P6",2.26885918158316,1.85142209093581,5.08352807011311,0.000284232739652849,0.112561680519171,0.63425057525715
"SAPCD1",2.18496250072116,1.49248125036058,5.07693220740069,0.000287330390604139,0.112561680519171,0.624751336911991
"ADAM28",2.67434851630114,7.14209294141285,5.05342410869717,0.000298662500346053,0.114639097373398,0.590835116867634
"BLK",3.80588816225779,5.15548050960133,5.05216195564745,0.000299284062296391,0.114639097373398,0.589011489512877
"LGALS3",-1.94375685066461,12.5066679542928,-5.02153755181293,0.000314789729978723,0.115415240683168,0.544680738826125
"ZNF410",1.88838963810067,3.62394355743797,5.02037074743098,0.000315396945880191,0.115415240683168,0.542988569040537
"RPL32P11",1.85984160367746,0.929920801838728,5.00970710826595,0.000321003768218765,0.115415240683168,0.527512833163138
"RBM47-AS1",2.02585660338899,1.52992080183873,4.98879509564757,0.000332305329471306,0.115415240683168,0.497108160586031
"CFD",-3.1189077821048,11.9284522906392,-4.97091063001813,0.000342302279204463,0.115415240683168,0.471046757626719
"MMP9",3.99324629797554,8.72658244149413,4.96706059105919,0.000344495379310652,0.115415240683168,0.465429393923534
"LINC02614",1.77593817480465,4.43887613514069,4.95893692451582,0.00034917142868546,0.115415240683168,0.453568445719645
"AMPD3",1.52019419528826,8.01521106297017,4.95223230760522,0.000353080857624741,0.115415240683168,0.443771017228138
"MAP9-AS1",2.64756149474463,1.32378074737231,4.95072571512535,0.000353965652301954,0.115415240683168,0.441568400231006
"CCND1",-2.39915754550855,10.937769889547,-4.95027133050754,0.000354232960953146,0.115415240683168,0.440904021455536
"SLC34A3",2.47542041059981,2.41908832442161,4.94770515293296,0.000355746594468909,0.115415240683168,0.437151232088151
"KIZ-AS1",1.98496250072116,1.19248125036058,4.9472476794691,0.000356017142972211,0.115415240683168,0.436482104711488
