"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DEFB1",-4.40222392285318,3.20111196142659,-10.4245978972824,4.35950228092574e-07,0.0124838518921666,5.94116264520333
"COL11A1",7.58545011339869,5.60160388057104,9.82843493495406,7.91695588811022e-07,0.0124838518921666,5.51890605629172
"FAP",3.11420163916301,7.64398765525992,9.26175505586764,1.43531770816155e-06,0.0136186546341831,5.0831319953729
"MMP3",5.39262804193649,3.61330652111248,9.09077265913771,1.72732404910843e-06,0.0136186546341831,4.94459937418864
"FNDC1-AS1",3.10284418187163,1.75142209093581,8.76316215516318,2.48214868671523e-06,0.014562230602686,4.66953320379097
"CILP2",5.89435284960047,5.91822799023887,8.66567099209149,2.77050396728021e-06,0.014562230602686,4.58516114870845
"CCN4",2.95579512289472,6.74265311863078,7.7313555706609,8.35046190840867e-06,0.0362030783810543,3.71400149913493
"ITGAD",1.9090890650522,4.30999559556449,7.585971354841,1.00000732665616e-05,0.0362030783810543,3.56767900547627
"SH3GL3",-3.92114469869854,5.38423079595467,-7.55987666172209,1.03316011487931e-05,0.0362030783810543,3.54109349048966
"COL5A2",3.61400663814789,10.9454912403264,7.41199111323799,1.24478309989554e-05,0.0392567246214058,3.388546884856
"CD19",3.11169442988223,5.15629155097956,7.2864089899364,1.46115741845623e-05,0.0396868132842747,3.25646625662225
"FCRL2",3.44149430937327,3.92798187719733,7.26077194313586,1.51010482738148e-05,0.0396868132842747,3.2292122369667
"SHISA8",3.67190873632295,2.75294686830571,7.1961673183649,1.64142556882049e-05,0.0398197216645321,3.16009246458591
"ABCB4",3.32226020444205,4.19348572177542,7.10189116204922,1.85551305686308e-05,0.0417980823387792,3.05808761324586
"ACAN",4.97893805224042,4.4404465265529,6.94651862660707,2.27641274973797e-05,0.0460429577382456,2.88699000223306
"LINC02016",-5.11725874400038,3.34000749112189,-6.82248501556816,2.6857929671346e-05,0.0460429577382456,2.74769625383974
"MS4A1",4.1699804171683,6.65762540691092,6.7325690671414,3.03158210265066e-05,0.0460429577382456,2.64519522469292
"COL7A1",3.19305030263114,6.5804840370834,6.7212834758554,3.07824158120693e-05,0.0460429577382456,2.63223895327966
"LINC01785",-2.32422722265493,1.16211361132746,-6.69443556355141,3.1923597105043e-05,0.0460429577382456,2.60133456185762
"COL3A1",5.01223805272914,14.37124860495,6.65331675752224,3.37600147712066e-05,0.0460429577382456,2.5537786350389
"TMEM178B",2.44936464789957,5.29258187183239,6.65276916568509,3.37852205184043e-05,0.0460429577382456,2.55314348168214
"MXRA5",3.26067285972029,10.2462614868466,6.59571637271878,3.65249940867495e-05,0.0460429577382456,2.4867024479395
"S100A4",-2.2341369228761,12.0982129602675,-6.58692221328575,3.69680266603187e-05,0.0460429577382456,2.47641432626975
"RPL39P40",-1.55097750043269,0.775488750216347,-6.58633070557476,3.6998031235174e-05,0.0460429577382456,2.47572188241465
"SULT1A2",-2.30471703551559,6.83290112464112,-6.53549957340866,3.96763500859044e-05,0.0460429577382456,2.41600450180983
"IGHJ5",3.15014270554789,2.29206385291817,6.52007163102431,4.05297026072309e-05,0.0460429577382456,2.39779626060526
"KCNS2",2.94284910353322,1.87142455176661,6.51124850240348,4.10265305769278e-05,0.0460429577382456,2.38736564479776
"TPPP3",-1.70043074006779,10.5296703309766,-6.51090141576973,4.10462075481539e-05,0.0460429577382456,2.38695506256837
"SNORA28",1.7813781191217,1.09068905956085,6.47230217047126,4.32986947351661e-05,0.0460429577382456,2.3411716283781
"COL24A1",2.89777661325589,4.79541719232627,6.46402035039332,4.37989895090646e-05,0.0460429577382456,2.33131659216147
"TNFRSF13C",3.44156772186239,5.50843329930404,6.42452489654758,4.62713261578247e-05,0.046546109560337,2.28416372434307
"ITGB2-AS1",2.51199062819315,5.134388345958,6.36057014044577,5.05964038230123e-05,0.046546109560337,2.20726473745981
"RAB17-DT",-2.75922947415956,2.69660723722401,-6.34170658587304,5.19530830166371e-05,0.046546109560337,2.18445423332991
"CAV2-DT",-2.97381272534365,3.43788386310452,-6.32880623135369,5.29032231248067e-05,0.046546109560337,2.16882072111654
"PLA2G3",-2.93104574603353,4.35658831707768,-6.32877211675095,5.29057602042428e-05,0.046546109560337,2.16877934219343
"LINC01224",-2.04576373809918,1.22288186904959,-6.32572170295188,5.31331434242995e-05,0.046546109560337,2.1650785970935
"C10orf67-AS1",-3.94845856743146,4.28147872685336,-6.26661931412922,5.77510627156595e-05,0.0479683344540321,2.09307089183998
"COL1A1",5.05993943043542,14.5278485161729,6.26115732110046,5.81989607953498e-05,0.0479683344540321,2.08638691268073
"FNDC1",4.55948174607261,8.3669496670255,6.24768459937298,5.93196893714447e-05,0.0479683344540321,2.0698787436018
"PRR15",-3.0054256945901,4.68842577498843,-6.18626831127683,6.47284905827184e-05,0.0510335601876797,1.99424115858525
"ADAM12",4.20240469426732,7.35127544832558,6.10077232113683,7.31511250657834e-05,0.0562674885658442,1.88789557831088
"LINC03040",-3.74825059855359,5.209669227605,-6.07957799919903,7.54150093190967e-05,0.0566276940213417,1.86134251116833
"P2RX5",3.12229443792,3.91741916166493,6.02097232258046,8.20727276495658e-05,0.059254096628735,1.78752444690915
