"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GOLGA4",-1.66168039040075,0.863122950118819,-21.7827115408528,6.12155030355788e-09,0.000134380272263703,7.45761131140629
"COL10A1",0.555465019742051,0.292328364520031,15.016539120272,1.47624742319036e-07,0.00162032917169374,6.17955920834396
"RNU5E-8P",-1.23737453353358,0.712315712889484,-12.2435039729762,8.2099308375419e-07,0.00600748005819066,5.23688091496352
"RNU6-633P",-0.142669693823105,0.0719383339983329,-11.6180314874711,1.26913338867153e-06,0.0068870103335852,4.96854549975801
"SERF2",1.51072566565077,4.22154222080416,11.3123601811361,1.5822682931058e-06,0.0068870103335852,4.82828885906221
"TPBG",1.34151126028287,0.687433620343283,11.076652808473,1.88238256202219e-06,0.0068870103335852,4.71576716666886
"TAF9BP1",0.86765802961051,1.44461119263654,10.549735115039,2.80901239722075e-06,0.00864784232683293,4.44960455173457
"RNU1-109P",-1.17459046433006,1.58928139949291,-10.4023776729759,3.15154603747556e-06,0.00864784232683293,4.37136071545476
"MBLAC2",0.294219648114176,0.381955514221811,10.0960040400502,4.02165304922428e-06,0.00980925863739681,4.20304598712455
"IGHV1OR15-1",1.14711681771542,1.02850095911044,9.53426454871377,6.395635924128e-06,0.0140396999806458,3.873471564408
"VTRNA1-3",-0.199331389622456,0.099665694811228,-9.25797191428715,8.1036791096971e-06,0.0156617563649356,3.7007388137062
"RRN3P4",0.73602153598456,0.553099644569124,9.19479425064297,8.56145573884963e-06,0.0156617563649356,3.66020487975888
"HDLBP",2.04382050808444,3.78294507942139,8.65209733373332,1.39099154963738e-05,0.0234884973058767,3.29530411938188
"SEPTIN10",-1.40089613160211,3.31672447271679,-8.2353113736736,2.05408189241507e-05,0.0299149917867596,2.99351788417908
"COX7BP6",0.589541816637139,0.470277733034304,8.2294866795327,2.06553119661175e-05,0.0299149917867596,2.98916037477582
"ANTXRLP1",0.529317968378536,0.511517517016695,8.08198666463035,2.38022334799985e-05,0.0299149917867596,2.87748697328894
"GAREM1",-0.529789297891569,0.317520820450011,-8.08128580218612,2.38183928074949e-05,0.0299149917867596,2.87695019705189
"GGT1",-0.968785838582348,1.03905714631519,-8.0509546336536,2.45294211079479e-05,0.0299149917867596,2.85366391293385
"RPL12P42",-0.515767551328411,0.447228009048631,-7.7607511418835,3.26479878212275e-05,0.0377204541395572,2.62520536601052
"IL12RB1",0.914260821563981,1.01321021311818,7.67757423969738,3.54901485094468e-05,0.0389539870039688,2.55779404577989
"RNU1-43P",-0.688165875986728,0.382727994935465,-7.60954568781216,3.80173437724637e-05,0.0397407966901488,2.50200469924644
"ZNF785",0.336973966585884,0.584568168530535,7.53288649245741,4.11046638636698e-05,0.0409041952551035,2.43842240790468
"CYP3A5",-0.728983665150524,0.364491832575262,-7.49214029677972,4.28569830023405e-05,0.0409041952551035,2.40431543925486
"ADA2",2.39268958019891,2.92790907475808,7.44687647585532,4.49003780517769e-05,0.0410688791246919,2.36617129311821
"CX3CL1",-1.82763246362933,1.48060410265606,-7.377691584628,4.82334882769061e-05,0.0421840907259602,2.30734445395765
"TTI2",0.83401318104646,0.811833035843112,7.34383324577803,4.99629354443771e-05,0.0421840907259602,2.27832244734559
"H2BC20P",0.50329328102781,1.02376875574793,7.17484558534766,5.96765448009519e-05,0.0480924778748712,2.13115334297592
"TRAJ11",1.82753773389508,1.86863126611918,7.14891669219371,6.13424462689683e-05,0.0480924778748712,2.10822616094553
"ADRA1A",-1.28463678637489,0.794603836399227,-7.06700591394387,6.69493135694638e-05,0.0506783217750645,2.03518455477028
"DLG1",0.992960012559916,1.07482060369986,6.9358601848384,7.71327470614899e-05,0.0564406021164609,1.9162753481011
"CXCL13",4.34272282607372,2.68796643088726,6.82059413217184,8.7495219211995e-05,0.061759608177261,1.80973530745318
"R3HDM2P2",-0.316280450690396,0.204340102754968,-6.79468642363614,9.0028583348777e-05,0.061759608177261,1.78552415115277
"TRAJ31",1.45699312164219,1.2833525100245,6.62091551558977,0.000109245757350643,0.0690615134830928,1.62058287360648
"CCR6",1.17048595506823,1.10309244108144,6.61779575372435,0.000109629448384716,0.0690615134830928,1.6175806942949
"ATP5PBP5",-0.588220973733273,0.576233593210841,-6.61389852096773,0.000110110831446258,0.0690615134830928,1.61382830092913
"TGIF1",-0.820780360726284,2.70587451434936,-6.56534249598669,0.00011630634783931,0.070921026326904,1.5668858331691
"TRAJ3",1.48729728707341,1.38278505443088,6.52817244491057,0.000121306794047872,0.0719709930524023,1.5307110234813
"P2RX5",0.675497038979503,0.347007055560299,6.36064093488804,0.000146956297112703,0.0848943324794223,1.36505332637827
"LTB",1.40554528647002,0.926586435105516,6.3066032991851,0.000156450723320097,0.0856284623671719,1.31069781928104
"PHB1P4",-0.277649614367992,0.145912147005221,-6.30403374795726,0.000156918586910925,0.0856284623671719,1.30810184071018
"YWHAQP5",0.630511020500573,0.62631989753612,6.27379767170921,0.000162540266503178,0.0856284623671719,1.2774773685481
"WIPF1",1.42739787110471,3.04640696423281,6.25314949476093,0.000166505549133279,0.0856284623671719,1.25648176449722
"IGHG2",2.4911233057089,1.97824805141802,6.24687836726319,0.000167730679746191,0.0856284623671719,1.25009188143577
"CDC42P4",-0.451354406445588,0.489269363783893,-6.20795849784225,0.000175557692458032,0.0875873287463347,1.21029670323365
"TRAV8-3",0.439613650113221,0.371079709784464,6.18725522249065,0.000179883018134416,0.0877509336463711,1.18903049622501
"TRBV20-1",0.894188471135621,1.13027072148242,6.0881391587892,0.000202266132718392,0.0939854414769378,1.08627720736535
"RPS24P8",0.550387151191829,0.393679230867615,6.0448839926847,0.000212971865916819,0.0939854414769378,1.04094301545367
"MYRF",-0.234913263478479,0.170219408076412,-6.04379793496394,0.000213248499800588,0.0939854414769378,1.03980089093006
"CENPK",0.502864867107464,0.48328613990301,6.04032375495299,0.000214136056220603,0.0939854414769378,1.0361460850891
"H2BC19P",0.558539551436336,0.99310674357943,6.01656581221156,0.000220314589736199,0.0939854414769378,1.01110085362769
