"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-mir-31",5.2500571748816,7.1911911336267,5.96365038932693,3.00387340159737e-05,0.0262689742623603,2.4833128465895
"hsa-mir-663b",-3.96505710723573,3.95149208548737,-5.95746877674579,3.03687563726708e-05,0.0262689742623603,2.47414200306166
"hsa-mir-615",6.04574711194266,6.61666012714622,5.02255044415933,0.000168277910309356,0.0804211914239318,1.01211248207788
"hsa-mir-4467",3.09973600612909,1.54986800306455,4.96989593586244,0.000185944951269207,0.0804211914239318,0.925507270613426
"hsa-mir-3648-2",-3.22531658165507,5.11393353682612,-4.7141830113255,0.000303401821658466,0.104977030293829,0.498979069536238
"hsa-mir-4679-1",3.38033743650902,3.29262035894038,4.61264045513878,0.000369290534775302,0.106478770860212,0.326997480691655
"hsa-mir-4488",-3.81208128968533,8.36435883032539,-4.48862407408047,0.000470187684658882,0.116203527779981,0.115069153565234
"hsa-mir-3648-1",-2.92101808197327,5.22691171378239,-4.29888628047997,0.000682473355272783,0.145670915906657,-0.212892848715855
"hsa-mir-618",2.88743221634868,6.14415582631543,4.24586493829039,0.000757825574080873,0.145670915906657,-0.305284500292442
"hsa-mir-1255a",2.89544886622148,5.14531014675069,4.12158058212028,0.000969617172058652,0.167743770766147,-0.523010795393404
"hsa-mir-4516",-4.04541254439954,6.8543248003635,-3.9665915181936,0.00132072434351736,0.185903845889242,-0.796560773835402
"hsa-mir-3196",-2.65005799609677,4.56311083727043,-3.96043771704343,0.00133707663365953,0.185903845889242,-0.807463564249407
"hsa-mir-4679-2",3.18741414140702,3.08018427691594,3.90237239115643,0.00150187556545187,0.185903845889242,-0.910479427969666
"hsa-mir-526b",2.99242664116664,1.49621332058332,3.9015261278281,0.00150442418638693,0.185903845889242,-0.911982629455497
"hsa-mir-1298",2.90245304402696,1.45122652201348,3.74073892948947,0.00207772773908096,0.239631265907337,-1.19841081738923
"hsa-mir-223",2.62281909921594,11.4009890303687,3.57303550864376,0.00291316850909293,0.301424291281567,-1.49849216095968
"hsa-mir-3690-1",2.36651189118364,4.17568258675846,3.52389898443393,0.0032169173464525,0.301424291281567,-1.58657302585188
"hsa-mir-1323",2.81707037061078,1.40853518530539,3.51201702575828,0.00329502844332999,0.301424291281567,-1.60787864201475
"hsa-mir-4433a",3.12645945569042,2.7582172280856,3.50970609472798,0.00331044019326576,0.301424291281567,-1.61202261529819
