"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FKBP5",-0.843684729962265,6.97623134249019,-5.0927868058422,7.05647470624628e-06,0.0443804670192292,3.69631589371046
"ITM2A",0.713690641023659,8.19589601518265,5.08144052712305,7.32713670451201e-06,0.0443804670192292,3.64992549604651
"CD47",-0.384963341645706,8.93127468964259,-4.63606076266182,3.16265120089353e-05,0.127707855492081,2.26761124109959
"ZNF268",-0.769517971103142,4.43978604124471,-4.45576106904171,5.66009714113968e-05,0.149888957633142,1.74445057570656
"GNPDA2",-0.553420031240772,4.98784783881004,-4.42802189181214,6.18660052968227e-05,0.149888957633142,1.70161850823314
"LOC100287015",0.675160885608375,2.53504236579967,4.33901503733513,8.22043917184503e-05,0.165970666879551,0.821090872627654
"KLF6",0.741222406188983,8.77005656529896,4.28223361597637,9.84526954490938e-05,0.170379421810046,1.20263289318473
"GPR65",-0.480186764770371,7.77324995164968,-4.21803300405925,0.000120610607218684,0.174152172884358,1.02297138756263
"CERK",-0.456360944805379,6.5327171084507,-4.19574635747479,0.000129384972425229,0.174152172884358,0.992482033273387
"WRNIP1",0.4833023310822,4.96075297692065,4.09118124579656,0.000179566686926649,0.210878091493389,0.745919578000692
"ZNF266",-0.555317418588531,6.60005917612212,-4.07056721743793,0.00019148580208249,0.210878091493389,0.627103509169398
"NCK2",-0.490655641348339,4.89713833765335,-3.99045541055875,0.000245536012105164,0.220612472254693,0.466718206154657
"LCMT1",0.34113237795386,5.78681447496505,3.94343422789128,0.000283869463535057,0.220612472254693,0.305250020891797
"DARS",-0.318555480288427,7.2963978862469,-3.93742707348139,0.000289165978976472,0.220612472254693,0.218614638024621
"CXCR4",-0.756091810280635,10.0635562372409,-3.89954599901684,0.000324837720118489,0.220612472254693,0.0796082643192273
"PHACTR2",-0.583588090355407,6.6144073110227,-3.89075221905826,0.000333708313353812,0.220612472254693,0.113402585884728
"VAMP1",0.476231484575415,5.65166783332659,3.86988070989676,0.000355710185905587,0.220612472254693,0.107355502350671
"SLA",-0.573946936659798,6.94843796761266,-3.86962041525079,0.000355993240839211,0.220612472254693,0.0387461969873808
"ZNF575",0.641229970452642,2.91760976000194,3.8495409462699,0.000378497177232784,0.220612472254693,-0.153515511878209
"DIS3",-0.412095683009333,5.71027429306474,-3.79213667334507,0.000450674306158643,0.220612472254693,-0.111760661672293
"C18orf54",1.81558486634941,0.308661756897444,3.78328145845096,0.000462929541842628,0.220612472254693,-1.78646030578016
"HIST3H2A",0.826810549157306,2.5325476103095,3.76872897374537,0.000483770795790648,0.220612472254693,-0.484994732410681
"HPGD",-0.9528261936731,4.50800602117442,-3.7661972329738,0.000487487819269133,0.220612472254693,-0.138551357598561
"MARS2",-0.73890140531011,3.50081408609523,-3.75141104386641,0.00050975258160507,0.220612472254693,-0.25031173148566
"CENPE",1.88853225129697,0.913615960861221,3.7465959895543,0.000517212220817865,0.220612472254693,-1.47128792435498
"GRIPAP1",0.310661653531199,5.46411347937911,3.74371557907502,0.000521724812247937,0.220612472254693,-0.22994426637977
"KCTD20",-0.382831451997782,5.89043542986397,-3.72264410423045,0.000555909449243915,0.220612472254693,-0.313892453895884
"DLD",-0.330099052457811,6.9663831039822,-3.71735011045539,0.00056483126000677,0.220612472254693,-0.389252946374115
"KLRB1",-0.949364505872078,7.86326412340009,-3.71262717684308,0.000572906900934323,0.220612472254693,-0.426283478412468
"NARS2",-0.536284754617603,4.43203255944336,-3.70938530586937,0.000578514313451573,0.220612472254693,-0.288014257796507
"NUS1",-0.357870195349954,5.87554847723965,-3.70767882263333,0.000581487175447847,0.220612472254693,-0.353915086918636
"ZFP36L2",-0.704177793394127,10.9436281527441,-3.69777747020114,0.000599028609991392,0.220612472254693,-0.491794241747475
"ZNF432",-1.70615414807087,1.61800220286536,-3.68417579410826,0.000623957661266818,0.220612472254693,-1.15062406426348
"LYPLA1",-0.368462451938849,7.03225927245169,-3.66713201369402,0.000656606200856611,0.220612472254693,-0.53059009348449
"ALG5",-0.293517526548115,6.37315573648472,-3.66553733805986,0.000659743582860584,0.220612472254693,-0.501276024786366
"PLP2",0.404919207433219,6.95310473967327,3.66383880540753,0.000663101142184379,0.220612472254693,-0.535482448176494
"C19orf53",0.256569537455889,6.78228579933695,3.65300813027744,0.000684900025909973,0.220612472254693,-0.557983683922471
"STX4",0.476348696028717,5.05546814957362,3.64134692163265,0.00070913999223262,0.220612472254693,-0.482929432608767
"SCRN1",-1.68497384869564,3.03209831216208,-3.62316026990078,0.000748596698987728,0.220612472254693,-0.694008432737318
"RAB33A",0.782973585924295,3.57787021057631,3.61725100702927,0.0007618647500875,0.220612472254693,-0.573606286186552
"ZBTB16",-1.46468783993866,4.17510762664629,-3.61643439441531,0.000763715946673786,0.220612472254693,-0.535987942151188
"FBXL22",-1.76673029244925,-0.713434611243928,-3.60650524752715,0.00078657276831504,0.220612472254693,-2.55636601580534
"ZNF532",-1.78613631376007,1.00041356244807,-3.59457168270139,0.000814912842119984,0.220612472254693,-1.64022069259816
"JUN",0.979338155989703,7.8996494670349,3.59242655268312,0.000820109933069547,0.220612472254693,-0.757557941763182
"CXCR3",0.433802420932765,6.53783306925039,3.58933442534332,0.000827657325307499,0.220612472254693,-0.717367223362769
"SLC27A3",0.474793208940588,5.17568336304678,3.583299810031,0.000842579163331986,0.220612472254693,-0.643086904866616
"LOC100130231",0.397311080335381,8.37445066227235,3.57242683891013,0.000870118318514791,0.220612472254693,-0.821556579529249
"SLC12A7",1.73281224923504,4.26986908110157,3.57086452468829,0.000874145570280413,0.220612472254693,-0.651509663353494
"RBM3",-0.317492725792924,8.79453379216881,-3.56151038389318,0.000898634455282137,0.220612472254693,-0.856041726523983
"PLEKHO2",0.606704996425127,4.99695715306213,3.55026124311609,0.000928955505211145,0.220612472254693,-0.719127742637193
"PRDM1",-0.706782523278745,7.01455734105518,-3.55015872175225,0.000929236297691226,0.220612472254693,-0.847481706399141
"TSEN34",0.41598910608405,5.27829410044196,3.54373575487358,0.000946990965597163,0.220612472254693,-0.75401266958666
"GOLGA2",0.655051751316152,3.70095277513186,3.52448331775465,0.00100217665319052,0.227396330671183,-0.785530147923978
"PLAGL1",1.31925430701718,1.87080231306605,3.51946683981182,0.0010170538705,0.227396330671183,-1.30803230602424
"PAK1",0.626604673117436,4.54364161367277,3.51435699226012,0.00103242514338081,0.227396330671183,-0.793718942202897
"RUFY1",0.426411289204538,4.6940633270598,3.50387932521282,0.00106464171038099,0.228733490585801,-0.826278160504157
"TDG",-0.44209719914635,5.77520179588253,-3.50017514919105,0.00107625961395003,0.228733490585801,-0.904998793813822
"ZNF720",0.805819996762124,2.67586826850626,3.49259075750244,0.00110042693793848,0.22983744700322,-1.04353451532082
"TCF12",0.42889376508585,5.60911180299216,3.48292340383164,0.00113198430274584,0.23242131938073,-0.937337289109732
"KLF3",-0.437002492730157,7.80196766634201,-3.46940999114833,0.00117754907906256,0.23774715906273,-1.09123724271019
"NUAK2",0.829600882909684,4.34435095271547,3.45862106294364,0.00121517997414918,0.241322790276117,-0.930286605345245
"SPATA2L",0.619580939774928,3.93243480588138,3.45130644735251,0.00124134305296066,0.242542415218797,-0.951688708192676
"MED15",0.252909443587512,7.74583820965572,3.4352710002076,0.00130059334657805,0.246743973773222,-1.18138830190663
"BNIP2",-0.367145293694486,8.09395523461629,-3.43367606912659,0.00130663192859434,0.246743973773222,-1.19226158946095
"SLC4A10",-1.7137043273177,5.13857158479118,-3.42914006198017,0.00132395231098394,0.246743973773222,-1.03035255295365
"MRPS25",0.428948151216715,4.26791825911002,3.41541808738827,0.001377691952187,0.251519804717529,-1.03797765286977
"HIST1H2AG",1.46728147985797,0.594952452422352,3.40885412491897,0.00140412801838299,0.251519804717529,-2.13677882082804
"MAP3K8",-0.679240261416179,6.34090244572907,-3.40427834520241,0.00142284207025344,0.251519804717529,-1.19787494291446
"BCOR",0.438175385288757,5.9443657760082,3.40167528132755,0.00143359393652493,0.251519804717529,-1.17584320282077
"PEX2",-0.370547312067323,6.18717361511151,-3.39693048932816,0.00145339164026969,0.251519804717529,-1.20840451079831
"SPATS2",0.609740650039877,3.08119913771472,3.38609833229723,0.00149956973638839,0.255856166008578,-1.18453990418432
"TRIM21",0.287545318862075,6.77610521216079,3.37851866997104,0.00153270976724426,0.257878418338846,-1.29524794277489
"CAMK2G",0.291671514813128,6.0894912762808,3.36928321889224,0.00157403220868304,0.261203098301183,-1.27288987885914
