"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-mir-4707",3.59976054050731,2.13321360358699,6.38547123741638,4.61441403449102e-05,0.0784450385863474,-2.71404383397053
"hsa-mir-3170",2.48510907343485,1.90922120338409,3.84071214545584,0.00262078442670243,0.965484393342877,-3.37496556014013
"hsa-mir-6807",-1.96896353186951,1.31781509926809,-3.76250865481715,0.00300680323940231,0.965484393342877,-3.40419296223224
"hsa-mir-144",-3.04342679376458,9.84628591416476,-3.64921607069904,0.003672926336724,0.965484393342877,-3.4476168246424
"hsa-mir-548ba",-3.48971100660986,2.93984300354532,-3.60074788232984,0.00400265143621027,0.965484393342877,-3.46658475491299
"hsa-mir-6886",-1.9357849740192,1.30122582034293,-3.59847071996676,0.00401887106912416,0.965484393342877,-3.46748165989505
"hsa-mir-4513",1.7233083338141,2.05664166714744,3.45699219592298,0.00517107323385523,0.965484393342877,-3.52421082601018
"hsa-mir-3685",-1.66666666666667,0.833333333333333,-3.2455159586032,0.00755703693919441,0.965484393342877,-3.61263288292354
"hsa-mir-575",1.79743914092625,0.898719570463127,3.15377657500607,0.00891565742691861,0.965484393342877,-3.65229786224607
"hsa-mir-663b",1.95058301380535,2.94425503877218,3.13024806502776,0.00930233990193048,0.965484393342877,-3.66259384249134
"hsa-mir-526a-1",-1.63563019853617,0.817815099268086,-3.11238496085924,0.00960719709299978,0.965484393342877,-3.67044361516097
"hsa-mir-3180-1",1.57141517255537,1.98069508651807,3.08659057641466,0.0100653045569546,0.965484393342877,-3.6818283992415
"hsa-mir-4770",-2.56449565249978,1.94891449291655,-2.94364513572332,0.0130333257270819,0.965484393342877,-3.74595068875475
"hsa-mir-2113",-1.79743914092625,1.23205290379646,-2.92163135444514,0.01356278357155,0.965484393342877,-3.75597512938953
"hsa-mir-3651",-1.65909330783331,1.16287998724999,-2.92119055987966,0.0135736023010617,0.965484393342877,-3.75617624739214
"hsa-mir-6836",-1.83061769877656,1.443629682962,-2.90316539236967,0.0140234828006928,0.965484393342877,-3.76441353528099
"hsa-mir-4647",-1.66264238923314,2.46695139315274,-2.88352547123398,0.0145306571013139,0.965484393342877,-3.77341753677703
"hsa-mir-122",-1.90829758728854,3.53911129436543,-2.88302022293288,0.0145439435262977,0.965484393342877,-3.77364956210351
"hsa-mir-4786",1.63563019853617,1.48448176593475,2.87840774420132,0.014665799591217,0.965484393342877,-3.77576865560565
"hsa-mir-5692c-2",1.38997500048077,0.694987500240385,2.85036039531764,0.0154290344235554,0.965484393342877,-3.78868908325133
"hsa-mir-3648-2",1.46893899749129,4.23574474474423,2.83360793709033,0.0159036788927871,0.965484393342877,-3.79643441571311
"hsa-mir-4433a",-2.93147195545004,2.85571097820579,-2.78723049384213,0.0172949040952825,0.965484393342877,-3.81798305113311
"hsa-mir-548h-1",1.63563019853617,1.3461359328418,2.74508272456635,0.0186638588577504,0.965484393342877,-3.83769748412788
"hsa-mir-6755",-1.49728436544323,2.47195051653572,-2.72847031139196,0.0192324966899908,0.965484393342877,-3.84550088163838
"hsa-mir-1277",-1.72267472895251,5.98841694871428,-2.62457814345313,0.0231981084061917,0.965484393342877,-3.89469856448178
"hsa-mir-6871",-1.52832083357372,1.09749375012019,-2.62251523711418,0.0232845111323167,0.965484393342877,-3.89568197908475
"hsa-mir-548ar",-1.47913510410243,3.23685191749444,-2.59070440573914,0.0246576522773125,0.965484393342877,-3.9108766046941
"hsa-mir-4520-1",-1.38997500048077,1.36165416690705,-2.56551678229265,0.0258010515167002,0.965484393342877,-3.9229462196917
"hsa-mir-3675",-1.44064269829579,1.05365468248123,-2.54726468385851,0.0266619446088236,0.965484393342877,-3.93171275974296
"hsa-mir-7152",-1.52832083357372,1.62581458369391,-2.53751888159564,0.0271330820416185,0.965484393342877,-3.93640045879863
"hsa-mir-6847",1.47167916642628,1.59749375012019,2.52532122399433,0.027734240724985,0.965484393342877,-3.94227393920554
"hsa-mir-4679-1",-1.21638640439913,4.37459587499533,-2.50169475258518,0.0289359293356919,0.965484393342877,-3.95367039640565
"hsa-mir-3115",-1.51477350540794,1.95237425294435,-2.48894613726835,0.0296053151745854,0.965484393342877,-3.9598302155427
"hsa-mir-184",-1.57808579917874,6.41166218758031,-2.48722085241686,0.0296970565974224,0.965484393342877,-3.96066437392017
"hsa-mir-3191",1.38211884343464,2.8860469219577,2.482645720952,0.0299416820172341,0.965484393342877,-3.96287702198748
"hsa-mir-4421",-1.81098646909204,2.01280259950847,-2.47927203378156,0.0301233253287448,0.965484393342877,-3.96450919046978
"hsa-mir-645",-1.58496250072116,1.12581458369391,-2.46731122823481,0.0307760021636781,0.965484393342877,-3.9702995760525
"hsa-mir-3181",-1.19498750024039,0.597493750120193,-2.45050813317268,0.0317162229662799,0.965484393342877,-3.97844396359346
"hsa-mir-4432",-1.19498750024039,0.597493750120193,-2.45050813317268,0.0317162229662799,0.965484393342877,-3.97844396359346
"hsa-mir-4736",-1.19498750024039,0.597493750120193,-2.45050813317268,0.0317162229662799,0.965484393342877,-3.97844396359346
"hsa-mir-147a",1.47511082666891,2.79419708048189,2.41141008322062,0.0340133148190425,0.965484393342877,-3.99743603053528
"hsa-mir-1972-1",-1.48699126114857,4.26993427643429,-2.40544928920208,0.0343774146321433,0.965484393342877,-4.00033627916047
"hsa-mir-4780",1.34813137311948,2.00739901989308,2.35588262313902,0.0375547762355245,0.965484393342877,-4.02449670379455
"hsa-mir-573",-1.46410580759292,1.83936226875891,-2.33968070134797,0.0386535667602791,0.965484393342877,-4.03240932658136
"hsa-mir-4520-2",-1.30229686520284,0.984481765934753,-2.31828472239193,0.0401521779701119,0.965484393342877,-4.04286863109643
"hsa-mir-6867",-1.30229686520284,0.984481765934753,-2.31828472239193,0.0401521779701119,0.965484393342877,-4.04286863109643
"hsa-mir-548aw",-1.54311887335987,1.77155943667993,-2.30949171535772,0.0407841352014661,0.965484393342877,-4.04717008324695
"hsa-mir-202",1.58556931259595,4.74336767010333,2.29639620893585,0.041743071969014,0.965484393342877,-4.05357928154652
"hsa-mir-6868",2.57999897403235,3.71846689330359,2.2873970767107,0.0424145614233186,0.965484393342877,-4.05798558009552
"hsa-mir-3616",2.05098397427953,2.77480115828763,2.27789893878888,0.0431345251166378,0.965484393342877,-4.0626378027527
"hsa-mir-6089-1",1.49728436544323,1.74864218272161,2.27725724424509,0.0431835862636082,0.965484393342877,-4.06295216321252
"hsa-mir-4738",-1.30229686520284,1.51280259950847,-2.260222244042,0.0445057347205085,0.965484393342877,-4.07129986584201
"hsa-mir-3148",-1.30229686520284,1.51280259950847,-2.260222244042,0.0445057347205085,0.965484393342877,-4.07129986584201
"hsa-mir-5680",-1.46410580759292,1.39871957046313,-2.23916471616767,0.0461936859904746,0.965484393342877,-4.08162441863975
"hsa-mir-4679-2",-1.20978554002654,4.06899857760619,-2.23463394497566,0.0465647843926642,0.965484393342877,-4.08384656934725
"hsa-mir-153-1",-1.29577926606237,3.74302370598527,-2.21273911670745,0.048398572064422,0.965484393342877,-4.09458789847689
