"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-mir-31",3.30398165784586,6.21815337510883,5.52195601234178,0.000126007827073077,0.211441133828624,0.601808187664752
"hsa-mir-516b-2",4.20221218119318,2.43443942392992,4.98695232688707,0.000305061961565453,0.255946985753415,0.014079209201677
"hsa-mir-615",4.40806680679037,5.79781997457007,4.38576810781578,0.000863021387109484,0.373727941506386,-0.710109354883172
"hsa-mir-1255a",2.97657391758309,5.1858726724315,4.21049965884873,0.00117872997193108,0.373727941506386,-0.933454835341832
"hsa-mir-3196",-2.47853360515352,4.64887303274205,-4.10607068948691,0.00142171747298152,0.373727941506386,-1.06899484473742
"hsa-mir-3180-1",2.43306933946243,1.54986800306455,4.06789579449671,0.00152299651295969,0.373727941506386,-1.11898688084401
"hsa-mir-4422",2.59378657117489,1.63022661892078,4.05493385322457,0.00155905577505644,0.373727941506386,-1.13601428359678
"hsa-mir-4649",2.26911830735253,1.4678924870096,3.73661516424565,0.00278419913608456,0.525733079464514,-1.56215275179189
"hsa-mir-516b-1",3.98230209148547,1.99115104574273,3.72969966663499,0.00281978409724709,0.525733079464514,-1.57157067038482
"hsa-mir-6775",2.05664166714744,1.02832083357372,3.58570882078228,0.00367643547128909,0.616905872082309,-1.76905322750893
"hsa-mir-517a",2.76180073962075,1.38090036981037,3.52031501842505,0.00414918782866998,0.63293974331893,-1.85956119132685
"hsa-mir-4464",2.32575997449997,1.16287998724999,3.4685244489478,0.00456723833144109,0.638652160013178,-1.9315745551744
"hsa-mir-6753",2.00745593767615,2.33706130217141,3.38664249114989,0.0053174110743318,0.648323767149786,-2.04598297382673
"hsa-mir-5196",2.86290487852742,3.15476077307781,3.36257025291369,0.00556089597348334,0.648323767149786,-2.07973751865976
"hsa-mir-520c",1.91829583405449,0.959147917027245,3.30023269869486,0.00624524049692651,0.648323767149786,-2.16738004548911
"hsa-mir-3117",2.11750547157359,3.05117937695344,3.23583507197454,0.00704182330418202,0.648323767149786,-2.25823869110075
"hsa-mir-223",2.51572328525591,11.3474411233887,3.22700067442747,0.00715882597480022,0.648323767149786,-2.27072618895364
"hsa-mir-3616",1.88199731137291,2.85929448974094,3.22216143566197,0.00722374552577737,0.648323767149786,-2.27756871120285
"hsa-mir-7850",1.99242664116664,1.32954665391665,3.21353309625814,0.00734097233363882,0.648323767149786,-2.28977271524562
"hsa-mir-1298",2.23347990604703,1.11673995302352,3.14005415865775,0.00842015750920014,0.659999641517918,-2.39388544531657
"hsa-mir-526b",2.23347990604703,1.11673995302352,3.14005415865775,0.00842015750920014,0.659999641517918,-2.39388544531657
"hsa-mir-3667",2.37642767231499,2.38320133639788,3.121257996723,0.0087209622181612,0.659999641517918,-2.42056547913792
"hsa-mir-3606",1.86165416690705,0.930827083453526,3.05313283441236,0.00990442074586124,0.659999641517918,-2.51739905770451
"hsa-mir-449c",2.9651745486621,3.96906448054348,3.04511286712368,0.0100539287889536,0.659999641517918,-2.52881069202838
"hsa-mir-6870",1.90474850588871,1.81402841985141,3.0435097201588,0.010084084315614,0.659999641517918,-2.53109207907616
"hsa-mir-6868",3.35706761019081,3.32993257522436,3.03600513489074,0.0102264545169642,0.659999641517918,-2.54177274814224
"hsa-mir-3609",1.99699208510782,6.52516054758065,3.0028030894081,0.0108808331690175,0.674371555477087,-2.58904707859417
"hsa-mir-4679-1",2.16395103210989,2.68442715674081,2.96236438222684,0.0117345544779959,0.674371555477087,-2.64666240030988
"hsa-mir-5588",2.09058526223735,9.37851530955006,2.94210577128527,0.0121870266064939,0.674371555477087,-2.67553737758659
"hsa-mir-876",-1.58496250072116,0.792481250360578,-2.8876553845022,0.0134910416792168,0.674371555477087,-2.75316763103711
"hsa-mir-3187",2.03716943840566,3.28770302655537,2.87524506738318,0.0138071355464569,0.674371555477087,-2.77086277692824
"hsa-mir-512-2",2.19498750024039,1.43082708345353,2.86937785159685,0.0139591228837107,0.674371555477087,-2.77922842573217
